dataset: X
instance: TR5
+-----------+
2D Packing Heuristic in Truck P207420409
Min2DVol: 30.53418 [m2]
Stack 0 with items: ['0090017000_14062023002831', '0090017000_14062023002831', '0090017000_14062023021033', '0090017000_14062023025426', '0090017000_14062023032082']
Stack 1 with items: ['0090017000_14062023006831', '0090017000_14062023030906']
Stack 2 with items: ['0090017000_14062023021825', '0090017000_14062023044113']
Stack 3 with items: ['0090017000_14062023027990', '0090017000_14062023027990', '0090017000_14062023027990']
Stack 4 with items: ['0090017000_14062023020385', '0090017000_14062023014675', '0090017000_14062023014675']
Stack 5 with items: ['0090017000_14062023013921', '0090017000_14062023013921', '0090017000_14062023013921']
Stack 6 with items: ['0090017000_14062023013921', '0090017000_14062023013921', '0090017000_14062023013921']
Stack 7 with items: ['0090017000_14062023013921', '0090017000_14062023013237', '0090017000_14062023013921']
Stack 8 with items: ['0090017000_14062023013237', '0090017000_14062023009740', '0090017000_14062023009740']
Stack 9 with items: ['0090017000_14062023009541', '0090017000_14062023009541', '0090017000_14062023009541']
Stack 10 with items: ['0090017000_14062023009541', '0090017000_14062023009541', '0090017000_14062023009541']
Stack 11 with items: ['0090017000_14062023009541', '0090017000_14062023009541', '0090017000_14062023009541']
Stack 12 with items: ['0090017000_14062023009541', '0090017000_14062023009541', '0090017000_14062023009541']
Stack 13 with items: ['0090017000_14062023007939', '0090017000_14062023007939', '0090017000_14062023007939']
Stack 14 with items: ['0090017000_14062023007939', '0090017000_14062023007054', '0090017000_14062023007939']
Stack 15 with items: ['0090017000_14062023007054', '0090017000_14062023007054', '0090017000_14062023007054']
Stack 16 with items: ['0090017000_14062023007054', '0090017000_14062023007054', '0090017000_14062023007054']
Stack 17 with items: ['0090017000_14062023007019', '0090017000_14062023006508', '0090017000_14062023006508']
Stack 18 with items: ['0090017000_14062023006508', '0090017000_14062023003879', '0090017000_14062023006508']
Stack 19 with items: ['0090017000_14062023018740', '0090017000_14062023008041', '0090017000_14062023008041']
Stack 20 with items: ['0090017000_14062023036471', '0090017000_14062023036471', '0090017000_14062023036471']
Stack 21 with items: ['0090017000_14062023030155', '0090017000_14062023018740', '0090017000_14062023014793']
Stack 22 with items: ['0090017000_14062023008041', '0090017000_14062023008041', '0090017000_14062023008041']
Heuristic packed all stacks
