dataset: C
instance: SA
+-----------+
2D Packing Heuristic in Truck P096056111
Min2DVol: 31.431794999999983 [m2]
Stack 0 with items: ['0090017100_27022023030780', '0090017100_27022023028420']
Stack 1 with items: ['0090017100_27022023028420', '0090017100_27022023027824']
Stack 2 with items: ['0090017100_27022023024540', '0090017100_27022023018229']
Stack 3 with items: ['0090017100_27022023017320', '0090017100_27022023007878']
Stack 4 with items: ['0090017100_27022023007878', '0090017100_27022023007878']
Stack 5 with items: ['0090017100_27022023006789', '0090017100_27022023006789']
Stack 6 with items: ['0090017100_27022023005331', '0090017100_27022023002136']
Stack 7 with items: ['0090017100_27022023001516', '0090017100_27022023001516']
Stack 8 with items: ['0090017100_27022023024799', '0090017100_27022023024799', '0090017100_27022023024799']
Stack 9 with items: ['0090017100_27022023015620', '0090017100_27022023024799', '0090017100_27022023024799']
Stack 10 with items: ['0090017100_27022023007085', '0090017100_27022023024799', '0090017100_27022023024799']
Stack 11 with items: ['0090017100_27022023007085', '0090017100_27022023024799', '0090017100_27022023024799']
Stack 12 with items: ['0090017100_27022023007085', '0090017100_27022023024799', '0090017100_27022023024799']
Stack 13 with items: ['0090017100_27022023007085', '0090017100_27022023024799', '0090017100_27022023024799']
Stack 14 with items: ['0090017100_27022023008618', '0090017100_27022023024799', '0090017100_27022023024799']
Stack 15 with items: ['0090017100_27022023008618', '0090017100_27022023024799', '0090017100_27022023024799']
Stack 16 with items: ['0090017100_27022023024799', '0090017100_27022023024799', '0090017100_27022023024799']
Stack 17 with items: ['0090017100_27022023024799', '0090017100_27022023024799', '0090017100_27022023024799']
Stack 18 with items: ['0090017100_27022023024799', '0090017100_27022023024799', '0090017100_27022023024799']
Stack 19 with items: ['0090017100_27022023024799', '0090017100_27022023024799', '0090017100_27022023024799']
Stack 20 with items: ['0090017100_27022023024799', '0090017100_27022023024799', '0090017100_27022023024799']
Stack 21 with items: ['0090017100_27022023028903', '0090017100_27022023028903', '0090017100_27022023028903']
Stack 22 with items: ['0090017100_27022023035016', '0090017100_27022023020417', '0090017100_27022023035016']
Stack 23 with items: ['0090017100_27022023020417', '0090017100_27022023012606', '0090017100_27022023012606']
Stack 24 with items: ['0090017100_27022023020417', '0090017100_27022023020417', '0090017100_27022023020417']
Stack 25 with items: ['0090017100_27022023020417', '0090017100_27022023020417', '0090017100_27022023028903']
Heuristic packed all stacks
