dataset: X
instance: BY
+-----------+
2D Packing Heuristic in Truck P198061903
Min2DVol: 31.199999999999992 [m2]
Stack 0 with items: ['0090016900_08062023002676', '0090016900_08062023019829', '0090016900_08062023019829']
Stack 1 with items: ['0090016900_08062023025513', '0090016900_08062023019010', '0090016900_08062023019010']
Stack 2 with items: ['0090016900_08062023030825', '0090016900_08062023030825']
Stack 3 with items: ['0090016900_08062023030825', '0090016900_08062023030825']
Stack 4 with items: ['0090016900_08062023030825', '0090016900_08062023026430']
Stack 5 with items: ['0090016900_08062023026430', '0090016900_08062023026430']
Stack 6 with items: ['0090016900_08062023026430', '0090016900_08062023026430']
Stack 7 with items: ['0090016900_08062023026430', '0090016900_08062023026430']
Stack 8 with items: ['0090016900_08062023025083', '0090016900_08062023025083']
Stack 9 with items: ['0090016900_08062023025083', '0090016900_08062023025083']
Stack 10 with items: ['0090016900_08062023025083', '0090016900_08062023025083']
Stack 11 with items: ['0090016900_08062023025083', '0090016900_08062023009703']
Heuristic packed all stacks
