dataset: C
instance: MA
+-----------+
2D Packing Heuristic in Truck P097036805
Min2DVol: 31.839484500000033 [m2]
Stack 0 with items: ['0090016200_27022023040209', '0090016200_27022023040209']
Stack 1 with items: ['0090016200_27022023034764', '0090016200_27022023034764']
Stack 2 with items: ['0090016200_27022023034764', '0090016200_27022023034764']
Stack 3 with items: ['0090016200_27022023033228', '0090016200_27022023033228']
Stack 4 with items: ['0090016200_27022023033228', '0090016200_27022023032701']
Stack 5 with items: ['0090016200_27022023032701', '0090016200_27022023032513']
Stack 6 with items: ['0090016200_27022023031923', '0090016200_27022023029815']
Stack 7 with items: ['0090016200_27022023029815', '0090016200_27022023029815']
Stack 8 with items: ['0090016200_27022023029815', '0090016200_27022023028554']
Stack 9 with items: ['0090016200_27022023028554', '0090016200_27022023028554']
Stack 10 with items: ['0090016200_27022023028554', '0090016200_27022023027815']
Stack 11 with items: ['0090016200_27022023027815', '0090016200_27022023020440']
Stack 12 with items: ['0090016200_27022023020440', '0090016200_27022023018561']
Stack 13 with items: ['0090016200_27022023015467', '0090016200_27022023014107']
Stack 14 with items: ['0090016200_27022023013137', '0090016200_27022023013137']
Stack 15 with items: ['0090016200_27022023007559', '0090016200_27022023007559']
Stack 16 with items: ['0090016200_27022023002756', '0090016200_27022023002756']
Stack 17 with items: ['0090016200_27022023002756', '0090016200_27022023002756']
Stack 18 with items: ['0090016200_27022023001211', '0090016200_27022023001211']
Stack 19 with items: ['0090016200_27022023001211', '0090016200_27022023000737']
Stack 20 with items: ['0090016200_27022023000737', '0090016200_27022023000737']
Stack 21 with items: ['0090016200_27022023000737', '0090016200_27022023000061']
Stack 22 with items: ['0090016200_27022023003355', '0090016200_27022023003355', '0090016200_27022023003355']
Stack 23 with items: ['0090016200_27022023003355', '0090016200_27022023003355', '0090016200_27022023003355']
Stack 24 with items: ['0090016200_27022023003355', '0090016200_27022023003355', '0090016200_27022023003355']
Stack 25 with items: ['0090016200_27022023003355', '0090016200_27022023003355', '0090016200_27022023003355']
Stack 26 with items: ['0090016200_27022023021715', '0090016200_27022023030141', '0090016200_27022023030141']
Stack 27 with items: ['0090016200_27022023035184', '0090016200_27022023007534', '0090016200_27022023035184']
Stack 28 with items: ['0090016200_27022023035184', '0090016200_27022023035184', '0090016200_27022023035184']
Stack 29 with items: ['0090016200_27022023035184', '0090016200_27022023035184', '0090016200_27022023035184']
Stack 30 with items: ['0090016200_27022023030141', '0090016200_27022023035184', '0090016200_27022023035184']
Stack 31 with items: ['0090016200_27022023035184', '0090016200_27022023035184', '0090016200_27022023035184']
Stack 32 with items: ['0090016200_27022023007534', '0090016200_27022023004452', '0090016200_27022023007534']
Stack 33 with items: ['0090016200_27022023030141', '0090016200_27022023012279', '0090016200_27022023030141']
Stack 34 with items: ['0090016200_27022023035184', '0090016200_27022023035184', '0090016200_27022023035184']
Stack 35 with items: ['0090016200_27022023030141', '0090016200_27022023030141', '0090016200_27022023030141']
Stack 36 with items: ['0090016200_27022023016359', '0090016200_27022023004452', '0090016200_27022023030141']
Stack 37 with items: ['0090016200_27022023038041', '0090016200_27022023030141', '0090016200_27022023030141']
Stack 38 with items: ['0090016200_27022023030141', '0090016200_27022023030141', '0090016200_27022023030141']
