dataset: X
instance: BY4
+-----------+
2D Packing Heuristic in Truck P178069003
Min2DVol: 29.759999999999994 [m2]
Stack 0 with items: ['0090016900_14062023001560']
Stack 1 with items: ['0090016900_14062023001560']
Stack 2 with items: ['0090016900_14062023018379', '0090016900_14062023018379']
Stack 3 with items: ['0090016900_14062023018379', '0090016900_14062023018379']
Stack 4 with items: ['0090016900_14062023018379', '0090016900_14062023018379']
Stack 5 with items: ['0090016900_14062023018379', '0090016900_14062023018379']
Stack 6 with items: ['0090016900_14062023018379', '0090016900_14062023018379']
Stack 7 with items: ['0090016900_14062023006624', '0090016900_14062023018379']
Stack 8 with items: ['0090016900_14062023006624', '0090016900_14062023006624']
Stack 9 with items: ['0090016900_14062023006624', '0090016900_14062023006624']
Stack 10 with items: ['0090016900_14062023006624', '0090016900_14062023006624']
Stack 11 with items: ['0090016900_14062023006624', '0090016900_14062023006624']
Heuristic packed all stacks
