dataset: B
instance: CI2
+-----------+
2D Packing Heuristic in Truck P329400903
Min2DVol: 30.817036 [m2]
Stack 0 with items: ['0090016800_26102022015320', '0090016800_26102022015320']
Stack 1 with items: ['0090016800_26102022015320', '0090016800_26102022015320']
Stack 2 with items: ['0090016800_26102022015320', '0090016800_26102022015320']
Stack 3 with items: ['0090016800_26102022015320', '0090016800_26102022015320']
Stack 4 with items: ['0090016800_26102022006100', '0090016800_26102022006100']
Stack 5 with items: ['0090016800_26102022006100', '0090016800_26102022006100']
Stack 6 with items: ['0090016800_26102022006100', '0090016800_26102022006100']
Stack 7 with items: ['0090016800_26102022006100', '0090016800_26102022006100']
Stack 8 with items: ['0090016800_26102022003806', '0090016800_26102022003806']
Stack 9 with items: ['0090016800_26102022003806', '0090016800_26102022003806']
Stack 10 with items: ['0090016800_26102022003806', '0090016800_26102022003806']
Stack 11 with items: ['0090016800_26102022000041', '0090016800_26102022000041']
Stack 12 with items: ['0090016800_26102022000041', '0090016800_26102022000041']
Stack 13 with items: ['0090016800_26102022000041', '0090016800_26102022000041']
Stack 14 with items: ['0090016800_26102022013033', '0090016800_26102022012533']
Stack 15 with items: ['0090016800_26102022013033', '0090016800_26102022013033']
Stack 16 with items: ['0090016800_26102022000802', '0090016800_26102022000802']
Stack 17 with items: ['0090016800_26102022000802']
Stack 18 with items: ['0090016800_26102022002514', '0090016800_26102022010065']
Stack 19 with items: ['0090016800_26102022002514', '0090016800_26102022002514']
Stacks not packed:
Stack 19 missing: ['0090016800_26102022002514', '0090016800_26102022002514']
