dataset: X
instance: SA
+-----------+
2D Packing Heuristic in Truck P173234407
Min2DVol: 31.19999999999999 [m2]
Stack 0 with items: ['0090017100_08062023028290', '0090017100_08062023028290', '0090017100_08062023028290']
Stack 1 with items: ['0090017100_08062023028290', '0090017100_08062023027663', '0090017100_08062023027663']
Stack 2 with items: ['0090017100_08062023026791', '0090017100_08062023022628', '0090017100_08062023018527']
Stack 3 with items: ['0090017100_08062023018527', '0090017100_08062023018527', '0090017100_08062023018527']
Stack 4 with items: ['0090017100_08062023018527', '0090017100_08062023018527', '0090017100_08062023018527']
Stack 5 with items: ['0090017100_08062023018527', '0090017100_08062023018527', '0090017100_08062023018527']
Stack 6 with items: ['0090017100_08062023018527', '0090017100_08062023018527', '0090017100_08062023018527']
Stack 7 with items: ['0090017100_08062023018527', '0090017100_08062023018527', '0090017100_08062023018527']
Stack 8 with items: ['0090017100_08062023018527', '0090017100_08062023018527', '0090017100_08062023018527']
Stack 9 with items: ['0090017100_08062023018527', '0090017100_08062023018527', '0090017100_08062023018527']
Stack 10 with items: ['0090017100_08062023018527', '0090017100_08062023018527', '0090017100_08062023018527']
Stack 11 with items: ['0090017100_08062023018527', '0090017100_08062023015488', '0090017100_08062023018527']
Stack 12 with items: ['0090017100_08062023015488', '0090017100_08062023015488', '0090017100_08062023015488']
Stack 13 with items: ['0090017100_08062023015488', '0090017100_08062023015488', '0090017100_08062023015488']
Stack 14 with items: ['0090017100_08062023015488', '0090017100_08062023015488', '0090017100_08062023015488']
Stack 15 with items: ['0090017100_08062023015488', '0090017100_08062023015488', '0090017100_08062023015488']
Stack 16 with items: ['0090017100_08062023015488', '0090017100_08062023015488', '0090017100_08062023015488']
Stack 17 with items: ['0090017100_08062023015488', '0090017100_08062023015488', '0090017100_08062023015488']
Stack 18 with items: ['0090017100_08062023015488', '0090017100_08062023015488', '0090017100_08062023015488']
Stack 19 with items: ['0090017100_08062023015488', '0090017100_08062023015488', '0090017100_08062023015488']
Stack 20 with items: ['0090017100_08062023015488', '0090017100_08062023010508', '0090017100_08062023010508']
Stack 21 with items: ['0090017100_08062023007075', '0090017100_08062023005987', '0090017100_08062023005778']
Stack 22 with items: ['0090017100_08062023005778', '0090017100_08062023005346', '0090017100_08062023005346']
Stack 23 with items: ['0090017100_08062023005346', '0090017100_08062023004138', '0090017100_08062023003336']
Stack 24 with items: ['0090017100_08062023003336', '0090017100_08062023002522', '0090017100_08062023002522']
Stack 25 with items: ['0090017100_08062023002389', '0090017100_08062023002389', '0090017100_08062023002389']
Heuristic packed all stacks
