dataset: X
instance: RM3
+-----------+
2D Packing Heuristic in Truck P206391311
Min2DVol: 31.272239999999986 [m2]
Stack 0 with items: ['0090038200_08062023002490', '0090038200_08062023002765']
Stack 1 with items: ['0090038200_08062023012573', '0090038200_08062023030447']
Stack 2 with items: ['0090038200_08062023007684', '0090038200_08062023019922']
Stack 3 with items: ['0090038200_08062023029003', '0090038200_08062023002765']
Stack 4 with items: ['0090038200_08062023029950', '0090038200_08062023029950', '0090038200_08062023029950']
Stack 5 with items: ['0090038200_08062023029950', '0090038200_08062023029950', '0090038200_08062023029950']
Stack 6 with items: ['0090038200_08062023029950', '0090038200_08062023029950', '0090038200_08062023029950']
Stack 7 with items: ['0090038200_08062023029950', '0090038200_08062023029082', '0090038200_08062023029082']
Stack 8 with items: ['0090038200_08062023029082', '0090038200_08062023029082', '0090038200_08062023029082']
Stack 9 with items: ['0090038200_08062023029082', '0090038200_08062023029082', '0090038200_08062023029082']
Stack 10 with items: ['0090038200_08062023029082', '0090038200_08062023029082', '0090038200_08062023029082']
Stack 11 with items: ['0090038200_08062023029082', '0090038200_08062023029082', '0090038200_08062023029082']
Stack 12 with items: ['0090038200_08062023029082', '0090038200_08062023029082', '0090038200_08062023029082']
Stack 13 with items: ['0090038200_08062023029082', '0090038200_08062023029082', '0090038200_08062023029082']
Stack 14 with items: ['0090038200_08062023029082', '0090038200_08062023028751', '0090038200_08062023022276']
Stack 15 with items: ['0090038200_08062023022276', '0090038200_08062023018227', '0090038200_08062023022276']
Stack 16 with items: ['0090038200_08062023018227', '0090038200_08062023018227', '0090038200_08062023018227']
Stack 17 with items: ['0090038200_08062023018227', '0090038200_08062023018227', '0090038200_08062023018227']
Stack 18 with items: ['0090038200_08062023018227', '0090038200_08062023018015', '0090038200_08062023018227']
Stack 19 with items: ['0090038200_08062023018015', '0090038200_08062023018015', '0090038200_08062023018015']
Stack 20 with items: ['0090038200_08062023018015', '0090038200_08062023018015', '0090038200_08062023018015']
Stack 21 with items: ['0090038200_08062023018015', '0090038200_08062023014044', '0090038200_08062023018015']
Stack 22 with items: ['0090038200_08062023014044', '0090038200_08062023010894', '0090038200_08062023006754']
Stack 23 with items: ['0090038200_08062023006754', '0090038200_08062023006754', '0090038200_08062023006754']
Stack 24 with items: ['0090038200_08062023006754', '0090038200_08062023006754', '0090038200_08062023006754']
Stack 25 with items: ['0090038200_08062023006754', '0090038200_08062023006754', '0090038200_08062023006754']
Heuristic packed all stacks
