dataset: X
instance: TR5
+-----------+
2D Packing Heuristic in Truck P199421705
Min2DVol: 30.978059999999996 [m2]
Stack 0 with items: ['0090017000_14062023000124']
Stack 1 with items: ['0090017000_14062023035546', '0090017000_14062023035546']
Stack 2 with items: ['0090017000_14062023035546', '0090017000_14062023035546']
Stack 3 with items: ['0090017000_14062023035546', '0090017000_14062023035546']
Stack 4 with items: ['0090017000_14062023035546', '0090017000_14062023035546']
Stack 5 with items: ['0090017000_14062023035546', '0090017000_14062023035546']
Stack 6 with items: ['0090017000_14062023035546', '0090017000_14062023035546']
Stack 7 with items: ['0090017000_14062023035546', '0090017000_14062023035546']
Stack 8 with items: ['0090017000_14062023031937', '0090017000_14062023031937']
Stack 9 with items: ['0090017000_14062023031937', '0090017000_14062023031937']
Stack 10 with items: ['0090017000_14062023031937', '0090017000_14062023031937']
Stack 11 with items: ['0090017000_14062023031937', '0090017000_14062023031937']
Stack 12 with items: ['0090017000_14062023031937', '0090017000_14062023031937']
Stack 13 with items: ['0090017000_14062023031937', '0090017000_14062023031937']
Stack 14 with items: ['0090017000_14062023031937', '0090017000_14062023031937']
Stack 15 with items: ['0090017000_14062023031937', '0090017000_14062023031937']
Stack 16 with items: ['0090017000_14062023031937', '0090017000_14062023031937']
Heuristic packed all stacks
