dataset: X
instance: BY6
+-----------+
2D Packing Heuristic in Truck P186069111
Min2DVol: 29.759999999999994 [m2]
Stack 0 with items: ['0090016900_14062023034795']
Stack 1 with items: ['0090016900_14062023018171']
Stack 2 with items: ['0090016900_14062023036816', '0090016900_14062023036816']
Stack 3 with items: ['0090016900_14062023036816', '0090016900_14062023036816']
Stack 4 with items: ['0090016900_14062023036816', '0090016900_14062023036816']
Stack 5 with items: ['0090016900_14062023036816', '0090016900_14062023036816']
Stack 6 with items: ['0090016900_14062023036816', '0090016900_14062023036816']
Stack 7 with items: ['0090016900_14062023029773', '0090016900_14062023029773']
Stack 8 with items: ['0090016900_14062023029773', '0090016900_14062023029773']
Stack 9 with items: ['0090016900_14062023029773', '0090016900_14062023019107']
Stack 10 with items: ['0090016900_14062023019107', '0090016900_14062023019107']
Stack 11 with items: ['0090016900_14062023019107', '0090016900_14062023019107']
Heuristic packed all stacks
