dataset: C
instance: TA
+-----------+
2D Packing Heuristic in Truck P072381905
Min2DVol: 31.19999999999999 [m2]
Stack 0 with items: ['0090038300_27022023016171', '0090038300_27022023009957', '0090038300_27022023006572']
Stack 1 with items: ['0090038300_27022023006572', '0090038300_27022023004371', '0090038300_27022023006572']
Stack 2 with items: ['0090038300_27022023004371', '0090038300_27022023004371', '0090038300_27022023004371']
Stack 3 with items: ['0090038300_27022023004371', '0090038300_27022023004371', '0090038300_27022023004371']
Stack 4 with items: ['0090038300_27022023004371', '0090038300_27022023004371', '0090038300_27022023004371']
Stack 5 with items: ['0090038300_27022023004371', '0090038300_27022023004371', '0090038300_27022023004371']
Stack 6 with items: ['0090038300_27022023004371', '0090038300_27022023004355', '0090038300_27022023004371']
Stack 7 with items: ['0090038300_27022023033045', '0090038300_27022023032080', '0090038300_27022023032080', '0090038300_27022023030742']
Stack 8 with items: ['0090038300_27022023030742', '0090038300_27022023025974', '0090038300_27022023030742', '0090038300_27022023030742']
Stack 9 with items: ['0090038300_27022023025974', '0090038300_27022023025974', '0090038300_27022023025974', '0090038300_27022023025974']
Stack 10 with items: ['0090038300_27022023025974', '0090038300_27022023025974', '0090038300_27022023025974', '0090038300_27022023025974']
Stack 11 with items: ['0090038300_27022023025974', '0090038300_27022023025974', '0090038300_27022023025974', '0090038300_27022023025974']
Stack 12 with items: ['0090038300_27022023025974', '0090038300_27022023025974', '0090038300_27022023025974', '0090038300_27022023025974']
Stack 13 with items: ['0090038300_27022023025974', '0090038300_27022023025974', '0090038300_27022023025974', '0090038300_27022023025974']
Stack 14 with items: ['0090038300_27022023025974', '0090038300_27022023025974', '0090038300_27022023025974', '0090038300_27022023025974']
Stack 15 with items: ['0090038300_27022023025974', '0090038300_27022023025974', '0090038300_27022023025974', '0090038300_27022023025974']
Stack 16 with items: ['0090038300_27022023025974', '0090038300_27022023025232', '0090038300_27022023025232', '0090038300_27022023025232']
Stack 17 with items: ['0090038300_27022023025232', '0090038300_27022023025232', '0090038300_27022023025232', '0090038300_27022023025232']
Stack 18 with items: ['0090038300_27022023025232', '0090038300_27022023023269', '0090038300_27022023015635', '0090038300_27022023025232']
Stack 19 with items: ['0090038300_27022023015635', '0090038300_27022023015635', '0090038300_27022023015635', '0090038300_27022023015635']
Stack 20 with items: ['0090038300_27022023015635', '0090038300_27022023013049', '0090038300_27022023014105', '0090038300_27022023006206']
Stack 21 with items: ['0090038300_27022023005140', '0090038300_27022023005140', '0090038300_27022023005140', '0090038300_27022023005140']
Stack 22 with items: ['0090038300_27022023005140', '0090038300_27022023005140', '0090038300_27022023005140', '0090038300_27022023005140']
Stack 23 with items: ['0090038300_27022023005140', '0090038300_27022023005140', '0090038300_27022023005140', '0090038300_27022023005140']
Stack 24 with items: ['0090038300_27022023005140', '0090038300_27022023005140', '0090038300_27022023005140', '0090038300_27022023005140']
Stack 25 with items: ['0090038300_27022023005140', '0090038300_27022023001899', '0090038300_27022023004700', '0090038300_27022023001899']
Heuristic packed all stacks
