dataset: B
instance: CI2
+-----------+
2D Packing Heuristic in Truck P339400303
Min2DVol: 28.79999999999999 [m2]
Stack 0 with items: ['0090016800_26102022012873', '0090016800_26102022012873', '0090016800_26102022012873']
Stack 1 with items: ['0090016800_26102022012873', '0090016800_26102022012873', '0090016800_26102022012873']
Stack 2 with items: ['0090016800_26102022012873', '0090016800_26102022012873', '0090016800_26102022012873']
Stack 3 with items: ['0090016800_26102022012873', '0090016800_26102022012873', '0090016800_26102022012873']
Stack 4 with items: ['0090016800_26102022012873', '0090016800_26102022004508', '0090016800_26102022004508']
Stack 5 with items: ['0090016800_26102022004508', '0090016800_26102022004508', '0090016800_26102022004508']
Stack 6 with items: ['0090016800_26102022004508', '0090016800_26102022004508', '0090016800_26102022004508']
Stack 7 with items: ['0090016800_26102022004508', '0090016800_26102022004508', '0090016800_26102022004508']
Stack 8 with items: ['0090016800_26102022004508', '0090016800_26102022004508', '0090016800_26102022004508']
Stack 9 with items: ['0090016800_26102022004508', '0090016800_26102022004508', '0090016800_26102022004508']
Stack 10 with items: ['0090016800_26102022004508', '0090016800_26102022004508', '0090016800_26102022004508']
Stack 11 with items: ['0090016800_26102022004508', '0090016800_26102022004508', '0090016800_26102022004508']
Stack 12 with items: ['0090016800_26102022004508', '0090016800_26102022004508', '0090016800_26102022004508']
Stack 13 with items: ['0090016800_26102022004508', '0090016800_26102022003801', '0090016800_26102022003801']
Stack 14 with items: ['0090016800_26102022003801', '0090016800_26102022003801', '0090016800_26102022003801']
Stack 15 with items: ['0090016800_26102022003801', '0090016800_26102022003801', '0090016800_26102022003801']
Stack 16 with items: ['0090016800_26102022003801', '0090016800_26102022003801', '0090016800_26102022003801']
Stack 17 with items: ['0090016800_26102022003801', '0090016800_26102022003801', '0090016800_26102022003801']
Stack 18 with items: ['0090016800_26102022003801', '0090016800_26102022003801', '0090016800_26102022003801']
Stack 19 with items: ['0090016800_26102022001332', '0090016800_26102022001332', '0090016800_26102022001332']
Stack 20 with items: ['0090016800_26102022001332', '0090016800_26102022001332', '0090016800_26102022001332']
Stack 21 with items: ['0090016800_26102022001332', '0090016800_26102022001332', '0090016800_26102022001332']
Stack 22 with items: ['0090016800_26102022001332', '0090016800_26102022001332', '0090016800_26102022001332']
Stack 23 with items: ['0090016800_26102022001332']
Heuristic packed all stacks
