dataset: C
instance: VO
+-----------+
2D Packing Heuristic in Truck P079382109
Min2DVol: 29.99999999999999 [m2]
Stack 0 with items: ['0090038300_28022023016545', '0090038300_28022023014368', '0090038300_28022023016545']
Stack 1 with items: ['0090038300_28022023016349', '0090038300_28022023014797', '0090038300_28022023014368']
Stack 2 with items: ['0090038300_28022023014689', '0090038300_28022023000649', '0090038300_28022023014689']
Stack 3 with items: ['0090038300_28022023014689', '0090038300_28022023014689']
Stack 4 with items: ['0090038300_28022023014689', '0090038300_28022023014689']
Stack 5 with items: ['0090038300_28022023014689', '0090038300_28022023014689']
Stack 6 with items: ['0090038300_28022023011467', '0090038300_28022023011467']
Stack 7 with items: ['0090038300_28022023009981', '0090038300_28022023009981']
Stack 8 with items: ['0090038300_28022023009981', '0090038300_28022023009981']
Stack 9 with items: ['0090038300_28022023009981', '0090038300_28022023009981']
Stack 10 with items: ['0090038300_28022023009981', '0090038300_28022023009981']
Stack 11 with items: ['0090038300_28022023009981', '0090038300_28022023009166']
Stack 12 with items: ['0090038300_28022023009166', '0090038300_28022023009166']
Stack 13 with items: ['0090038300_28022023009166', '0090038300_28022023009166']
Stack 14 with items: ['0090038300_28022023009166', '0090038300_28022023009166']
Stack 15 with items: ['0090038300_28022023009166', '0090038300_28022023008716']
Stack 16 with items: ['0090038300_28022023008716', '0090038300_28022023007219']
Stack 17 with items: ['0090038300_28022023007219', '0090038300_28022023007219']
Stack 18 with items: ['0090038300_28022023007219', '0090038300_28022023007219']
Stack 19 with items: ['0090038300_28022023006293', '0090038300_28022023006293']
Stack 20 with items: ['0090038300_28022023006293', '0090038300_28022023006293']
Stack 21 with items: ['0090038300_28022023006293', '0090038300_28022023006293']
Stack 22 with items: ['0090038300_28022023004879', '0090038300_28022023004879']
Stack 23 with items: ['0090038300_28022023004879', '0090038300_28022023004879']
Stack 24 with items: ['0090038300_28022023004486', '0090038300_28022023000903']
Heuristic packed all stacks
