dataset: C
instance: AS
+-----------+
2D Packing Heuristic in Truck P073730401
Min2DVol: 37.92 [m2]
Stack 0 with items: ['0090018000_27022023009556', '0090018000_27022023014747']
Stack 1 with items: ['0090018000_27022023012780', '0090018000_27022023007424', '0090018000_27022023000260']
Stack 2 with items: ['0090018000_27022023015605', '0090018000_27022023014982', '0090018000_27022023015605']
Stack 3 with items: ['0090018000_27022023014982', '0090018000_27022023014982', '0090018000_27022023014982']
Stack 4 with items: ['0090018000_27022023014982', '0090018000_27022023014982', '0090018000_27022023014982']
Stack 5 with items: ['0090018000_27022023013155', '0090018000_27022023012378', '0090018000_27022023012378']
Stack 6 with items: ['0090018000_27022023012378', '0090018000_27022023011789', '0090018000_27022023011789']
Stack 7 with items: ['0090018000_27022023011789', '0090018000_27022023011764', '0090018000_27022023011789']
Stack 8 with items: ['0090018000_27022023011764', '0090018000_27022023011764', '0090018000_27022023011764']
Stack 9 with items: ['0090018000_27022023011764', '0090018000_27022023011423', '0090018000_27022023011423']
Stack 10 with items: ['0090018000_27022023011423', '0090018000_27022023011423', '0090018000_27022023011423']
Stack 11 with items: ['0090018000_27022023011423', '0090018000_27022023011423', '0090018000_27022023011423']
Stack 12 with items: ['0090018000_27022023011423', '0090018000_27022023011423', '0090018000_27022023011423']
Stack 13 with items: ['0090018000_27022023011423', '0090018000_27022023008630', '0090018000_27022023008630']
Stack 14 with items: ['0090018000_27022023008630', '0090018000_27022023008630', '0090018000_27022023008630']
Stack 15 with items: ['0090018000_27022023005562', '0090018000_27022023005562', '0090018000_27022023005562']
Stack 16 with items: ['0090018000_27022023004938', '0090018000_27022023004938', '0090018000_27022023004938']
Stack 17 with items: ['0090018000_27022023004795', '0090018000_27022023004795', '0090018000_27022023004795']
Stack 18 with items: ['0090018000_27022023004795', '0090018000_27022023004245', '0090018000_27022023004245']
Stack 19 with items: ['0090018000_27022023004245', '0090018000_27022023004245', '0090018000_27022023004245']
Stack 20 with items: ['0090018000_27022023002972', '0090018000_27022023002972', '0090018000_27022023002972']
Stack 21 with items: ['0090018000_27022023002972', '0090018000_27022023002972', '0090018000_27022023002972']
Stack 22 with items: ['0090018000_27022023014752', '0090018000_27022023014752', '0090018000_27022023014752']
Stack 23 with items: ['0090018000_27022023014752', '0090018000_27022023014080', '0090018000_27022023007376']
Stack 24 with items: ['0090018000_27022023014752', '0090018000_27022023014752', '0090018000_27022023014752']
Stack 25 with items: ['0090018000_27022023007376', '0090018000_27022023007376', '0090018000_27022023007376']
Stack 26 with items: ['0090018000_27022023014080', '0090018000_27022023005682', '0090018000_27022023014080']
Stack 27 with items: ['0090018000_27022023005682', '0090018000_27022023005682', '0090018000_27022023005682']
Stacks not packed:
Stack 1 missing: ['0090018000_27022023012780', '0090018000_27022023007424', '0090018000_27022023000260']
Stack 21 missing: ['0090018000_27022023002972', '0090018000_27022023002972', '0090018000_27022023002972']
