dataset: C
instance: BY2
+-----------+
2D Packing Heuristic in Truck P111067501
Min2DVol: 31.308359999999986 [m2]
Stack 0 with items: ['0090016900_28022023022157', '0090016900_28022023022157']
Stack 1 with items: ['0090016900_28022023022157', '0090016900_28022023022157']
Stack 2 with items: ['0090016900_28022023000757', '0090016900_28022023022157']
Stack 3 with items: ['0090016900_28022023022157', '0090016900_28022023022157']
Stack 4 with items: ['0090016900_28022023000757', '0090016900_28022023000757']
Stack 5 with items: ['0090016900_28022023000757', '0090016900_28022023022157']
Stack 6 with items: ['0090016900_28022023031131', '0090016900_28022023029214', '0090016900_28022023029214']
Stack 7 with items: ['0090016900_28022023029214', '0090016900_28022023029214', '0090016900_28022023029214']
Stack 8 with items: ['0090016900_28022023029214', '0090016900_28022023029214', '0090016900_28022023029214']
Stack 9 with items: ['0090016900_28022023029214', '0090016900_28022023029214', '0090016900_28022023029214']
Stack 10 with items: ['0090016900_28022023029214', '0090016900_28022023029214', '0090016900_28022023029214']
Stack 11 with items: ['0090016900_28022023029214', '0090016900_28022023029214', '0090016900_28022023029214']
Stack 12 with items: ['0090016900_28022023029214', '0090016900_28022023029214', '0090016900_28022023029214']
Stack 13 with items: ['0090016900_28022023029214', '0090016900_28022023029214', '0090016900_28022023029214']
Stack 14 with items: ['0090016900_28022023029214', '0090016900_28022023013929', '0090016900_28022023029214']
Stack 15 with items: ['0090016900_28022023013929', '0090016900_28022023013200', '0090016900_28022023013929']
Stack 16 with items: ['0090016900_28022023013200', '0090016900_28022023013200', '0090016900_28022023013200']
Stack 17 with items: ['0090016900_28022023013200', '0090016900_28022023013200', '0090016900_28022023013200']
Stack 18 with items: ['0090016900_28022023013200', '0090016900_28022023013200', '0090016900_28022023013200']
Stack 19 with items: ['0090016900_28022023013200', '0090016900_28022023013200', '0090016900_28022023013200']
Stack 20 with items: ['0090016900_28022023013200', '0090016900_28022023013200', '0090016900_28022023013200']
Stack 21 with items: ['0090016900_28022023013200', '0090016900_28022023013200', '0090016900_28022023013200']
Stack 22 with items: ['0090016900_28022023013200', '0090016900_28022023013200', '0090016900_28022023013200']
Stack 23 with items: ['0090016900_28022023013200', '0090016900_28022023013200', '0090016900_28022023013200']
Stack 24 with items: ['0090016900_28022023004905', '0090016900_28022023003044', '0090016900_28022023004905']
Stack 25 with items: ['0090016900_28022023003044', '0090016900_28022023003044', '0090016900_28022023003044']
Heuristic packed all stacks
