dataset: X
instance: BY
+-----------+
2D Packing Heuristic in Truck P179065821
Min2DVol: 30.720000000000013 [m2]
Stack 0 with items: ['0090016900_08062023039426', '0090016900_08062023039426', '0090016900_08062023039426', '0090016900_08062023039426']
Stack 1 with items: ['0090016900_08062023039426', '0090016900_08062023038715', '0090016900_08062023026265', '0090016900_08062023039426']
Stack 2 with items: ['0090016900_08062023026265', '0090016900_08062023026265', '0090016900_08062023026265', '0090016900_08062023026265']
Stack 3 with items: ['0090016900_08062023026265', '0090016900_08062023026265', '0090016900_08062023026265', '0090016900_08062023026265']
Stack 4 with items: ['0090016900_08062023026265', '0090016900_08062023026265', '0090016900_08062023026265', '0090016900_08062023026265']
Stack 5 with items: ['0090016900_08062023026265', '0090016900_08062023026265', '0090016900_08062023026265', '0090016900_08062023026265']
Stack 6 with items: ['0090016900_08062023016940', '0090016900_08062023016940', '0090016900_08062023016940', '0090016900_08062023016940']
Stack 7 with items: ['0090016900_08062023016940', '0090016900_08062023016940', '0090016900_08062023016940', '0090016900_08062023016940']
Stack 8 with items: ['0090016900_08062023016940', '0090016900_08062023016940', '0090016900_08062023016940', '0090016900_08062023016940']
Stack 9 with items: ['0090016900_08062023016940', '0090016900_08062023016940', '0090016900_08062023016940', '0090016900_08062023016940']
Stack 10 with items: ['0090016900_08062023016940', '0090016900_08062023016940', '0090016900_08062023016940', '0090016900_08062023016940']
Stack 11 with items: ['0090016900_08062023016940', '0090016900_08062023016940', '0090016900_08062023016940', '0090016900_08062023016940']
Stack 12 with items: ['0090016900_08062023012087', '0090016900_08062023012087', '0090016900_08062023012087', '0090016900_08062023012087']
Stack 13 with items: ['0090016900_08062023012087', '0090016900_08062023011358', '0090016900_08062023011358', '0090016900_08062023011358']
Stack 14 with items: ['0090016900_08062023011358', '0090016900_08062023002785', '0090016900_08062023002785', '0090016900_08062023002785']
Stack 15 with items: ['0090016900_08062023000457', '0090016900_08062023000457', '0090016900_08062023000457', '0090016900_08062023000457']
Heuristic packed all stacks
