dataset: A
instance: SA2
+-----------+
2D Packing Heuristic in Truck P250339041
Min2DVol: 28.65030000000003 [m2]
Stack 0 with items: ['0090017100_03072022015832', '0090017100_03072022015832']
Stack 1 with items: ['0090017100_03072022015832', '0090017100_03072022013302']
Stack 2 with items: ['0090017100_03072022015746', '0090017100_03072022003403']
Stack 3 with items: ['0090017100_03072022015727', '0090017100_03072022013066']
Stack 4 with items: ['0090017100_03072022014227', '0090017100_03072022003254', '0090017100_03072022008134', '0090017100_03072022013612', '0090017100_03072022002191']
Stack 5 with items: ['0090017100_03072022013302', '0090017100_03072022013302']
Stack 6 with items: ['0090017100_03072022013066', '0090017100_03072022013066']
Stack 7 with items: ['0090017100_03072022009676', '0090017100_03072022009676']
Stack 8 with items: ['0090017100_03072022003403']
Stack 9 with items: ['0090017100_03072022001302']
Stack 10 with items: ['0090017100_03072022011041', '0090017100_03072022007659']
Stack 11 with items: ['0090017100_03072022007659', '0090017100_03072022007659', '0090017100_03072022007659']
Stack 12 with items: ['0090017100_03072022001654']
Stack 13 with items: ['0090017100_03072022002137', '0090017100_03072022009863', '0090017100_03072022009863']
Stack 14 with items: ['0090017100_03072022002137', '0090017100_03072022002137', '0090017100_03072022002137']
Stack 15 with items: ['0090017100_03072022013357', '0090017100_03072022009863', '0090017100_03072022013357']
Stack 16 with items: ['0090017100_03072022009863', '0090017100_03072022009863', '0090017100_03072022009863']
Stack 17 with items: ['0090017100_03072022002137', '0090017100_03072022002137']
Stack 18 with items: ['0090017100_03072022009863', '0090017100_03072022014287', '0090017100_03072022014287']
Stack 19 with items: ['0090017100_03072022002844', '0090017100_03072022002844', '0090017100_03072022002844']
Stack 20 with items: ['0090017100_03072022002844', '0090017100_03072022011499', '0090017100_03072022011499']
Stack 21 with items: ['0090017100_03072022002844', '0090017100_03072022013650', '0090017100_03072022013650']
Stack 22 with items: ['0090017100_03072022014028', '0090017100_03072022002844', '0090017100_03072022002844']
Stack 23 with items: ['0090017100_03072022014028', '0090017100_03072022014028', '0090017100_03072022014028']
Stack 24 with items: ['0090017100_03072022011499', '0090017100_03072022011499', '0090017100_03072022011499']
Stack 25 with items: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 26 with items: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 27 with items: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 28 with items: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 29 with items: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 30 with items: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 31 with items: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 32 with items: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 33 with items: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 34 with items: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 35 with items: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 36 with items: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 37 with items: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 38 with items: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 39 with items: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 40 with items: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 41 with items: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 42 with items: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 43 with items: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stacks not packed:
Stack 19 missing: ['0090017100_03072022002844', '0090017100_03072022002844', '0090017100_03072022002844']
Stack 20 missing: ['0090017100_03072022002844', '0090017100_03072022011499', '0090017100_03072022011499']
Stack 21 missing: ['0090017100_03072022002844', '0090017100_03072022013650', '0090017100_03072022013650']
Stack 22 missing: ['0090017100_03072022014028', '0090017100_03072022002844', '0090017100_03072022002844']
Stack 23 missing: ['0090017100_03072022014028', '0090017100_03072022014028', '0090017100_03072022014028']
Stack 24 missing: ['0090017100_03072022011499', '0090017100_03072022011499', '0090017100_03072022011499']
Stack 28 missing: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 29 missing: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 30 missing: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 31 missing: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 32 missing: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 33 missing: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 34 missing: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 35 missing: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 36 missing: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 37 missing: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 38 missing: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 39 missing: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 40 missing: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 41 missing: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 42 missing: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
Stack 43 missing: ['0090017100_03072022012565', '0090017100_03072022012565', '0090017100_03072022012565']
