dataset: C
instance: MT2
+-----------+
2D Packing Heuristic in Truck P101500401
Min2DVol: 28.79999999999999 [m2]
Stack 0 with items: ['0091017700_28022023006236', '0091017700_28022023004948', '0091017700_28022023004948']
Stack 1 with items: ['0091017700_28022023004948', '0091017700_28022023001194', '0091017700_28022023001194']
Stack 2 with items: ['0091017700_28022023001033', '0091017700_28022023001033', '0091017700_28022023001033']
Stack 3 with items: ['0091017700_28022023001033', '0091017700_28022023001033', '0091017700_28022023001033']
Stack 4 with items: ['0091017700_28022023001033', '0091017700_28022023001033', '0091017700_28022023001033']
Stack 5 with items: ['0091017700_28022023001033', '0091017700_28022023001033', '0091017700_28022023001033']
Stack 6 with items: ['0091017700_28022023001033', '0091017700_28022023001033', '0091017700_28022023001033']
Stack 7 with items: ['0091017700_28022023001033', '0091017700_28022023001033', '0091017700_28022023001033']
Stack 8 with items: ['0091017700_28022023002378', '0091017700_28022023002378', '0091017700_28022023002378']
Stack 9 with items: ['0091017700_28022023002378', '0091017700_28022023002378', '0091017700_28022023002378']
Stack 10 with items: ['0091017700_28022023002378', '0091017700_28022023002378', '0091017700_28022023002378']
Stack 11 with items: ['0091017700_28022023002378', '0091017700_28022023002378', '0091017700_28022023002378']
Stack 12 with items: ['0091017700_28022023002378', '0091017700_28022023002378', '0091017700_28022023002378']
Stack 13 with items: ['0091017700_28022023002378', '0091017700_28022023002378', '0091017700_28022023002378']
Stack 14 with items: ['0091017700_28022023002378', '0091017700_28022023002378', '0091017700_28022023002378']
Stack 15 with items: ['0091017700_28022023002378', '0091017700_28022023002378', '0091017700_28022023002378']
Stack 16 with items: ['0091017700_28022023002378', '0091017700_28022023002378', '0091017700_28022023002378']
Stack 17 with items: ['0091017700_28022023002378', '0091017700_28022023002378', '0091017700_28022023002378']
Stack 18 with items: ['0091017700_28022023002378', '0091017700_28022023002378', '0091017700_28022023002378']
Stack 19 with items: ['0091017700_28022023002378', '0091017700_28022023002378', '0091017700_28022023002378']
Stack 20 with items: ['0091017700_28022023002378', '0091017700_28022023002378', '0091017700_28022023002378']
Stack 21 with items: ['0091017700_28022023002378', '0091017700_28022023002378', '0091017700_28022023002378']
Stack 22 with items: ['0091017700_28022023002378', '0091017700_28022023002378', '0091017700_28022023002378']
Stack 23 with items: ['0091017700_28022023002378', '0091017700_28022023002378', '0091017700_28022023002378']
Heuristic packed all stacks
