dataset: A
instance: DO2
+-----------+
2D Packing Heuristic in Truck P245222501
Min2DVol: 24.331796999999995 [m2]
Stack 0 with items: ['0090019100_03072022001279', '0090019100_03072022000462']
Stack 1 with items: ['0090019100_03072022006631', '0090019100_03072022006631', '0090019100_03072022006631']
Stack 2 with items: ['0090019100_03072022006631', '0090019100_03072022006631', '0090019100_03072022006631']
Stack 3 with items: ['0090019100_03072022005204', '0090019100_03072022005204', '0090019100_03072022005204']
Stack 4 with items: ['0090019100_03072022005204', '0090019100_03072022005204', '0090019100_03072022005204']
Stack 5 with items: ['0090019100_03072022005204', '0090019100_03072022005204', '0090019100_03072022005204']
Stack 6 with items: ['0090019100_03072022005204', '0090019100_03072022005204', '0090019100_03072022005204']
Stack 7 with items: ['0090019100_03072022005204', '0090019100_03072022005204', '0090019100_03072022005204']
Stack 8 with items: ['0090019100_03072022005204', '0090019100_03072022005204', '0090019100_03072022005204']
Stack 9 with items: ['0090019100_03072022005204', '0090019100_03072022005204', '0090019100_03072022005204']
Stack 10 with items: ['0090019100_03072022003179', '0090019100_03072022002504', '0090019100_03072022002396']
Stack 11 with items: ['0090019100_03072022002396', '0090019100_03072022002396', '0090019100_03072022002396']
Stack 12 with items: ['0090019100_03072022002396', '0090019100_03072022002396', '0090019100_03072022002396']
Stack 13 with items: ['0090019100_03072022002396', '0090019100_03072022002396', '0090019100_03072022002396']
Stack 14 with items: ['0090019100_03072022002396', '0090019100_03072022002396', '0090019100_03072022002396']
Stack 15 with items: ['0090019100_03072022002396', '0090019100_03072022002396', '0090019100_03072022002396']
Stack 16 with items: ['0090019100_03072022002396', '0090019100_03072022002396', '0090019100_03072022002396']
Stack 17 with items: ['0090019100_03072022002396', '0090019100_03072022002396', '0090019100_03072022002396']
Stack 18 with items: ['0090019100_03072022001874', '0090019100_03072022001874', '0090019100_03072022001874']
Stack 19 with items: ['0090019100_03072022001874', '0090019100_03072022001874', '0090019100_03072022001874']
Heuristic packed all stacks
