dataset: X
instance: SA3
+-----------+
2D Packing Heuristic in Truck P208050601
Min2DVol: 31.254179999999987 [m2]
Stack 0 with items: ['0090017100_08062023004329', '0090017100_08062023028657']
Stack 1 with items: ['0090017100_08062023002084', '0090017100_08062023016670']
Stack 2 with items: ['0090017100_08062023004231', '0090017100_08062023010002']
Stack 3 with items: ['0090017100_08062023029117', '0090017100_08062023029117', '0090017100_08062023029117']
Stack 4 with items: ['0090017100_08062023028845', '0090017100_08062023025923', '0090017100_08062023028845']
Stack 5 with items: ['0090017100_08062023025019', '0090017100_08062023025019', '0090017100_08062023025019']
Stack 6 with items: ['0090017100_08062023023743', '0090017100_08062023021832', '0090017100_08062023023743']
Stack 7 with items: ['0090017100_08062023021832', '0090017100_08062023021832', '0090017100_08062023021832']
Stack 8 with items: ['0090017100_08062023021355', '0090017100_08062023021355', '0090017100_08062023021355']
Stack 9 with items: ['0090017100_08062023020183', '0090017100_08062023020106', '0090017100_08062023020106']
Stack 10 with items: ['0090017100_08062023020106', '0090017100_08062023020106', '0090017100_08062023020106']
Stack 11 with items: ['0090017100_08062023020106', '0090017100_08062023019239', '0090017100_08062023019239']
Stack 12 with items: ['0090017100_08062023019239', '0090017100_08062023019239', '0090017100_08062023019239']
Stack 13 with items: ['0090017100_08062023019239', '0090017100_08062023018605', '0090017100_08062023018166']
Stack 14 with items: ['0090017100_08062023018166', '0090017100_08062023017977', '0090017100_08062023017977']
Stack 15 with items: ['0090017100_08062023017964', '0090017100_08062023014557', '0090017100_08062023017964']
Stack 16 with items: ['0090017100_08062023015014', '0090017100_08062023015014', '0090017100_08062023015014']
Stack 17 with items: ['0090017100_08062023014083', '0090017100_08062023014018', '0090017100_08062023014018']
Stack 18 with items: ['0090017100_08062023014018', '0090017100_08062023010441', '0090017100_08062023010441']
Stack 19 with items: ['0090017100_08062023010441', '0090017100_08062023005832', '0090017100_08062023005832']
Stack 20 with items: ['0090017100_08062023005832', '0090017100_08062023005832', '0090017100_08062023005832']
Stack 21 with items: ['0090017100_08062023005832', '0090017100_08062023004706', '0090017100_08062023004706']
Stack 22 with items: ['0090017100_08062023004706', '0090017100_08062023004706', '0090017100_08062023004706']
Stack 23 with items: ['0090017100_08062023004706', '0090017100_08062023004706', '0090017100_08062023004706']
Stack 24 with items: ['0090017100_08062023004706', '0090017100_08062023004706', '0090017100_08062023004706']
Stack 25 with items: ['0090017100_08062023004706', '0090017100_08062023003474', '0090017100_08062023004706']
Heuristic packed all stacks
