dataset: B
instance: SA2
+-----------+
2D Packing Heuristic in Truck P346055907
Min2DVol: 30.728000000000005 [m2]
Stack 0 with items: ['0090017100_26102022012207', '0090017100_26102022012207', '0090017100_26102022012207']
Stack 1 with items: ['0090017100_26102022012207', '0090017100_26102022012207', '0090017100_26102022012207']
Stack 2 with items: ['0090017100_26102022012207', '0090017100_26102022012207', '0090017100_26102022012207']
Stack 3 with items: ['0090017100_26102022012207', '0090017100_26102022012207', '0090017100_26102022012207']
Stack 4 with items: ['0090017100_26102022012207', '0090017100_26102022012207', '0090017100_26102022012207']
Stack 5 with items: ['0090017100_26102022012207', '0090017100_26102022012207', '0090017100_26102022012207']
Stack 6 with items: ['0090017100_26102022012207', '0090017100_26102022012207', '0090017100_26102022012207']
Stack 7 with items: ['0090017100_26102022012207', '0090017100_26102022012207', '0090017100_26102022012207']
Stack 8 with items: ['0090017100_26102022012207', '0090017100_26102022012207', '0090017100_26102022012207']
Stack 9 with items: ['0090017100_26102022012207', '0090017100_26102022012207', '0090017100_26102022012207']
Stack 10 with items: ['0090017100_26102022012207', '0090017100_26102022012207', '0090017100_26102022012207']
Stack 11 with items: ['0090017100_26102022012207', '0090017100_26102022012207', '0090017100_26102022012207']
Stack 12 with items: ['0090017100_26102022012207', '0090017100_26102022012207', '0090017100_26102022012207']
Stack 13 with items: ['0090017100_26102022012207', '0090017100_26102022012207', '0090017100_26102022012207']
Stack 14 with items: ['0090017100_26102022012207', '0090017100_26102022012207', '0090017100_26102022012207']
Stack 15 with items: ['0090017100_26102022012207', '0090017100_26102022012207', '0090017100_26102022012207']
Heuristic packed all stacks
