dataset: C
instance: TR
+-----------+
2D Packing Heuristic in Truck P098421603
Min2DVol: 28.024799999999995 [m2]
Stack 0 with items: ['0090017000_27022023020347', '0090017000_27022023003988', '0090017000_27022023003988', '0090017000_27022023020347']
Stack 1 with items: ['0090017000_27022023034725']
Stack 2 with items: ['0090017000_27022023006179', '0090017000_27022023006179', '0090017000_27022023006179']
Stack 3 with items: ['0090017000_27022023006179', '0090017000_27022023006179', '0090017000_27022023006179']
Stack 4 with items: ['0090017000_27022023006179', '0090017000_27022023006179', '0090017000_27022023006179']
Stack 5 with items: ['0090017000_27022023006179', '0090017000_27022023006179', '0090017000_27022023006179']
Stack 6 with items: ['0090017000_27022023006179', '0090017000_27022023006179', '0090017000_27022023006179']
Stack 7 with items: ['0090017000_27022023006179', '0090017000_27022023006179', '0090017000_27022023006179']
Stack 8 with items: ['0090017000_27022023004108', '0090017000_27022023004108', '0090017000_27022023004108']
Stack 9 with items: ['0090017000_27022023004108', '0090017000_27022023004108', '0090017000_27022023004108']
Stack 10 with items: ['0090017000_27022023019556', '0090017000_27022023020228', '0090017000_27022023020228']
Stack 11 with items: ['0090017000_27022023017938', '0090017000_27022023019556', '0090017000_27022023019556']
Heuristic packed all stacks
