dataset: C
instance: SA3
+-----------+
2D Packing Heuristic in Truck P082234407
Min2DVol: 31.19999999999999 [m2]
Stack 0 with items: ['0090017100_28022023025048', '0090017100_28022023025048', '0090017100_28022023025048']
Stack 1 with items: ['0090017100_28022023025048', '0090017100_28022023025048', '0090017100_28022023025048']
Stack 2 with items: ['0090017100_28022023025048', '0090017100_28022023025048', '0090017100_28022023025048']
Stack 3 with items: ['0090017100_28022023025048', '0090017100_28022023025048', '0090017100_28022023025048']
Stack 4 with items: ['0090017100_28022023024102', '0090017100_28022023022786', '0090017100_28022023024102']
Stack 5 with items: ['0090017100_28022023022786', '0090017100_28022023022786', '0090017100_28022023022786']
Stack 6 with items: ['0090017100_28022023022786', '0090017100_28022023022786', '0090017100_28022023022786']
Stack 7 with items: ['0090017100_28022023022786', '0090017100_28022023018050', '0090017100_28022023022786']
Stack 8 with items: ['0090017100_28022023018050', '0090017100_28022023018050', '0090017100_28022023018050']
Stack 9 with items: ['0090017100_28022023018050', '0090017100_28022023018050', '0090017100_28022023018050']
Stack 10 with items: ['0090017100_28022023018050', '0090017100_28022023018050', '0090017100_28022023018050']
Stack 11 with items: ['0090017100_28022023018050', '0090017100_28022023018050', '0090017100_28022023018050']
Stack 12 with items: ['0090017100_28022023018050', '0090017100_28022023014975', '0090017100_28022023014975']
Stack 13 with items: ['0090017100_28022023014975', '0090017100_28022023014975', '0090017100_28022023014975']
Stack 14 with items: ['0090017100_28022023014975', '0090017100_28022023014975', '0090017100_28022023014975']
Stack 15 with items: ['0090017100_28022023014975', '0090017100_28022023014975', '0090017100_28022023014975']
Stack 16 with items: ['0090017100_28022023014975', '0090017100_28022023014975', '0090017100_28022023014975']
Stack 17 with items: ['0090017100_28022023009437', '0090017100_28022023009437', '0090017100_28022023009437']
Stack 18 with items: ['0090017100_28022023009437', '0090017100_28022023009437', '0090017100_28022023009437']
Stack 19 with items: ['0090017100_28022023005794', '0090017100_28022023005794', '0090017100_28022023005794']
Stack 20 with items: ['0090017100_28022023005794', '0090017100_28022023004635', '0090017100_28022023004635']
Stack 21 with items: ['0090017100_28022023004635', '0090017100_28022023004297', '0090017100_28022023004635']
Stack 22 with items: ['0090017100_28022023004231', '0090017100_28022023004231', '0090017100_28022023004231']
Stack 23 with items: ['0090017100_28022023004231', '0090017100_28022023003773', '0090017100_28022023004231']
Stack 24 with items: ['0090017100_28022023003773', '0090017100_28022023003773', '0090017100_28022023003773']
Stack 25 with items: ['0090017100_28022023002375', '0090017100_28022023000328', '0090017100_28022023002375']
Heuristic packed all stacks
