dataset: C
instance: SA
+-----------+
2D Packing Heuristic in Truck P097157219
Min2DVol: 17.339399999999998 [m2]
Stack 0 with items: ['0090017100_27022023035365', '0090017100_27022023032883', '0090017100_27022023032883', '0090017100_27022023030167']
Stack 1 with items: ['0090017100_27022023030167', '0090017100_27022023019539', '0090017100_27022023025692', '0090017100_27022023019539']
Stack 2 with items: ['0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539']
Stack 3 with items: ['0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539']
Stack 4 with items: ['0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539']
Stack 5 with items: ['0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539']
Stack 6 with items: ['0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539']
Stack 7 with items: ['0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539']
Stack 8 with items: ['0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539']
Stack 9 with items: ['0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539']
Stack 10 with items: ['0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539']
Stack 11 with items: ['0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539']
Stack 12 with items: ['0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539']
Stack 13 with items: ['0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539']
Stack 14 with items: ['0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539']
Stack 15 with items: ['0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539']
Stack 16 with items: ['0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539']
Stack 17 with items: ['0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539']
Stack 18 with items: ['0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539']
Stack 19 with items: ['0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539', '0090017100_27022023019539']
Stack 20 with items: ['0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533']
Stack 21 with items: ['0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533']
Stack 22 with items: ['0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533']
Stack 23 with items: ['0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533']
Stack 24 with items: ['0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533']
Stack 25 with items: ['0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533']
Stack 26 with items: ['0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533']
Stack 27 with items: ['0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533']
Stack 28 with items: ['0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533']
Stack 29 with items: ['0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533']
Stack 30 with items: ['0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533']
Stack 31 with items: ['0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533']
Stack 32 with items: ['0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533']
Stack 33 with items: ['0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533']
Stack 34 with items: ['0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533']
Stack 35 with items: ['0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533']
Stack 36 with items: ['0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533']
Stack 37 with items: ['0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533', '0090017100_27022023003533']
Stack 38 with items: ['0090017100_27022023003533', '0090017100_27022023003533']
Heuristic packed all stacks
