dataset: C
instance: TA
+-----------+
2D Packing Heuristic in Truck P100384807
Min2DVol: 30.239999999999988 [m2]
Stack 0 with items: ['0090038300_27022023005852', '0090038300_27022023029024']
Stack 1 with items: ['0090038300_27022023033009', '0090038300_27022023025323', '0090038300_27022023025323']
Stack 2 with items: ['0090038300_27022023033930', '0090038300_27022023033930', '0090038300_27022023033930']
Stack 3 with items: ['0090038300_27022023033930', '0090038300_27022023033930', '0090038300_27022023033930']
Stack 4 with items: ['0090038300_27022023033930', '0090038300_27022023032943', '0090038300_27022023032943']
Stack 5 with items: ['0090038300_27022023032943', '0090038300_27022023032943', '0090038300_27022023032943']
Stack 6 with items: ['0090038300_27022023032943', '0090038300_27022023032943', '0090038300_27022023032943']
Stack 7 with items: ['0090038300_27022023032943', '0090038300_27022023032943', '0090038300_27022023032943']
Stack 8 with items: ['0090038300_27022023032371', '0090038300_27022023030995', '0090038300_27022023032371']
Stack 9 with items: ['0090038300_27022023030995', '0090038300_27022023030995', '0090038300_27022023030995']
Stack 10 with items: ['0090038300_27022023030995', '0090038300_27022023030995', '0090038300_27022023030995']
Stack 11 with items: ['0090038300_27022023026843', '0090038300_27022023025674', '0090038300_27022023023800']
Stack 12 with items: ['0090038300_27022023021033', '0090038300_27022023021033', '0090038300_27022023021033']
Stack 13 with items: ['0090038300_27022023021033', '0090038300_27022023021033', '0090038300_27022023021033']
Stack 14 with items: ['0090038300_27022023021033', '0090038300_27022023021033', '0090038300_27022023021033']
Stack 15 with items: ['0090038300_27022023021033', '0090038300_27022023017692', '0090038300_27022023017692']
Stack 16 with items: ['0090038300_27022023017692', '0090038300_27022023017475', '0090038300_27022023017692']
Stack 17 with items: ['0090038300_27022023017475', '0090038300_27022023017475', '0090038300_27022023017475']
Stack 18 with items: ['0090038300_27022023017475', '0090038300_27022023012897', '0090038300_27022023012897']
Stack 19 with items: ['0090038300_27022023012897', '0090038300_27022023012897', '0090038300_27022023012897']
Stack 20 with items: ['0090038300_27022023012897', '0090038300_27022023012897', '0090038300_27022023012897']
Stack 21 with items: ['0090038300_27022023012897', '0090038300_27022023012897', '0090038300_27022023012897']
Stack 22 with items: ['0090038300_27022023011499', '0090038300_27022023011499', '0090038300_27022023011499']
Stack 23 with items: ['0090038300_27022023011499', '0090038300_27022023011479', '0090038300_27022023011479']
Heuristic packed all stacks
