dataset: C
instance: MT3
+-----------+
2D Packing Heuristic in Truck P066500401
Min2DVol: 21.599999999999994 [m2]
Stack 0 with items: ['0091017700_28022023000626', '0091017700_28022023000626', '0091017700_28022023000626']
Stack 1 with items: ['0091017700_28022023000626', '0091017700_28022023000626', '0091017700_28022023000626']
Stack 2 with items: ['0091017700_28022023000626', '0091017700_28022023000626', '0091017700_28022023000626']
Stack 3 with items: ['0091017700_28022023000626', '0091017700_28022023000626', '0091017700_28022023000626']
Stack 4 with items: ['0091017700_28022023005268', '0091017700_28022023001526', '0091017700_28022023000626']
Stack 5 with items: ['0091017700_28022023006270', '0091017700_28022023006270', '0091017700_28022023006270']
Stack 6 with items: ['0091017700_28022023006270', '0091017700_28022023006270', '0091017700_28022023006270']
Stack 7 with items: ['0091017700_28022023006270', '0091017700_28022023006270', '0091017700_28022023006270']
Stack 8 with items: ['0091017700_28022023006270', '0091017700_28022023006270', '0091017700_28022023006270']
Stack 9 with items: ['0091017700_28022023002830', '0091017700_28022023002830', '0091017700_28022023002830']
Stack 10 with items: ['0091017700_28022023002830', '0091017700_28022023002830', '0091017700_28022023002830']
Stack 11 with items: ['0091017700_28022023002830', '0091017700_28022023002830', '0091017700_28022023002830']
Stack 12 with items: ['0091017700_28022023002830', '0091017700_28022023002830', '0091017700_28022023002830']
Stack 13 with items: ['0091017700_28022023002830', '0091017700_28022023002830', '0091017700_28022023002830']
Stack 14 with items: ['0091017700_28022023002830', '0091017700_28022023002830', '0091017700_28022023002830']
Stack 15 with items: ['0091017700_28022023002830', '0091017700_28022023002830', '0091017700_28022023002830']
Stack 16 with items: ['0091017700_28022023002830', '0091017700_28022023002830', '0091017700_28022023002830']
Stack 17 with items: ['0091017700_28022023002830', '0091017700_28022023002830', '0091017700_28022023002830']
Heuristic packed all stacks
