dataset: C
instance: SA3
+-----------+
2D Packing Heuristic in Truck P081157205
Min2DVol: 31.218059999999987 [m2]
Stack 0 with items: ['0090017100_28022023004708', '0090017100_28022023000331']
Stack 1 with items: ['0090017100_28022023023408', '0090017100_28022023023408', '0090017100_28022023023408']
Stack 2 with items: ['0090017100_28022023023408', '0090017100_28022023023408', '0090017100_28022023023408']
Stack 3 with items: ['0090017100_28022023022520', '0090017100_28022023022520', '0090017100_28022023022520']
Stack 4 with items: ['0090017100_28022023022520', '0090017100_28022023022520', '0090017100_28022023022520']
Stack 5 with items: ['0090017100_28022023022520', '0090017100_28022023021916', '0090017100_28022023021916']
Stack 6 with items: ['0090017100_28022023021916', '0090017100_28022023021916', '0090017100_28022023021916']
Stack 7 with items: ['0090017100_28022023021916', '0090017100_28022023018205', '0090017100_28022023018205']
Stack 8 with items: ['0090017100_28022023018205', '0090017100_28022023018205', '0090017100_28022023018205']
Stack 9 with items: ['0090017100_28022023018205', '0090017100_28022023016703', '0090017100_28022023011536']
Stack 10 with items: ['0090017100_28022023011536', '0090017100_28022023011536', '0090017100_28022023011536']
Stack 11 with items: ['0090017100_28022023011536', '0090017100_28022023011239', '0090017100_28022023011239']
Stack 12 with items: ['0090017100_28022023011239', '0090017100_28022023011239', '0090017100_28022023011239']
Stack 13 with items: ['0090017100_28022023011239', '0090017100_28022023011239', '0090017100_28022023011239']
Stack 14 with items: ['0090017100_28022023011239', '0090017100_28022023009934', '0090017100_28022023009934']
Stack 15 with items: ['0090017100_28022023009934', '0090017100_28022023008912', '0090017100_28022023009934']
Stack 16 with items: ['0090017100_28022023008072', '0090017100_28022023003145', '0090017100_28022023000337']
Stack 17 with items: ['0090017100_28022023007626', '0090017100_28022023007626', '0090017100_28022023007626']
Stack 18 with items: ['0090017100_28022023007366', '0090017100_28022023007366', '0090017100_28022023007366']
Stack 19 with items: ['0090017100_28022023007366', '0090017100_28022023005027', '0090017100_28022023007366']
Stack 20 with items: ['0090017100_28022023005027', '0090017100_28022023005027', '0090017100_28022023005027']
Stack 21 with items: ['0090017100_28022023004998', '0090017100_28022023004998', '0090017100_28022023004998']
Stack 22 with items: ['0090017100_28022023004998', '0090017100_28022023004998', '0090017100_28022023004998']
Stack 23 with items: ['0090017100_28022023004998', '0090017100_28022023004998', '0090017100_28022023004998']
Stack 24 with items: ['0090017100_28022023004759', '0090017100_28022023004759', '0090017100_28022023004759']
Stack 25 with items: ['0090017100_28022023004759', '0090017100_28022023004759', '0090017100_28022023004759']
Heuristic packed all stacks
