dataset: A
instance: PA
+-----------+
2D Packing Heuristic in Truck P251501501
Min2DVol: 21.440000000000012 [m2]
Stack 0 with items: ['0091017200_03072022017794', '0091017200_03072022017794', '0091017200_03072022017794']
Stack 1 with items: ['0091017200_03072022015478', '0091017200_03072022015478', '0091017200_03072022015478']
Stack 2 with items: ['0091017200_03072022015478', '0091017200_03072022015478', '0091017200_03072022015478']
Stack 3 with items: ['0091017200_03072022015478', '0091017200_03072022015478', '0091017200_03072022015478']
Stack 4 with items: ['0091017200_03072022013240', '0091017200_03072022013240', '0091017200_03072022013240']
Stack 5 with items: ['0091017200_03072022013240', '0091017200_03072022013240', '0091017200_03072022013240']
Stack 6 with items: ['0091017200_03072022013240', '0091017200_03072022013240', '0091017200_03072022013240']
Stack 7 with items: ['0091017200_03072022013240', '0091017200_03072022013240', '0091017200_03072022013240']
Stack 8 with items: ['0091017200_03072022011920', '0091017200_03072022011920', '0091017200_03072022011920']
Stack 9 with items: ['0091017200_03072022011920', '0091017200_03072022011920', '0091017200_03072022011920']
Stack 10 with items: ['0091017200_03072022011920', '0091017200_03072022011920', '0091017200_03072022011920']
Stack 11 with items: ['0091017200_03072022011920', '0091017200_03072022011920', '0091017200_03072022011920']
Stack 12 with items: ['0091017200_03072022011920', '0091017200_03072022004988', '0091017200_03072022011920']
Stack 13 with items: ['0091017200_03072022004988', '0091017200_03072022004988', '0091017200_03072022004988']
Stack 14 with items: ['0091017200_03072022004988', '0091017200_03072022004988', '0091017200_03072022004988']
Stack 15 with items: ['0091017200_03072022004988', '0091017200_03072022004988', '0091017200_03072022004988']
Stack 16 with items: ['0091017200_03072022004988', '0091017200_03072022004988', '0091017200_03072022004988']
Stack 17 with items: ['0091017200_03072022004988', '0091017200_03072022004988', '0091017200_03072022004988']
Stack 18 with items: ['0091017200_03072022004988', '0091017200_03072022004988', '0091017200_03072022004988']
Stack 19 with items: ['0091017200_03072022018196', '0091017200_03072022018196', '0091017200_03072022018196']
Stack 20 with items: ['0091017200_03072022017485', '0091017200_03072022017485', '0091017200_03072022017485']
Stacks not packed:
Stack 0 missing: ['0091017200_03072022017794', '0091017200_03072022017794', '0091017200_03072022017794']
Stack 1 missing: ['0091017200_03072022015478', '0091017200_03072022015478', '0091017200_03072022015478']
Stack 2 missing: ['0091017200_03072022015478', '0091017200_03072022015478', '0091017200_03072022015478']
Stack 3 missing: ['0091017200_03072022015478', '0091017200_03072022015478', '0091017200_03072022015478']
Stack 6 missing: ['0091017200_03072022013240', '0091017200_03072022013240', '0091017200_03072022013240']
Stack 7 missing: ['0091017200_03072022013240', '0091017200_03072022013240', '0091017200_03072022013240']
Stack 8 missing: ['0091017200_03072022011920', '0091017200_03072022011920', '0091017200_03072022011920']
Stack 9 missing: ['0091017200_03072022011920', '0091017200_03072022011920', '0091017200_03072022011920']
Stack 10 missing: ['0091017200_03072022011920', '0091017200_03072022011920', '0091017200_03072022011920']
Stack 11 missing: ['0091017200_03072022011920', '0091017200_03072022011920', '0091017200_03072022011920']
Stack 12 missing: ['0091017200_03072022011920', '0091017200_03072022004988', '0091017200_03072022011920']
