dataset: A
instance: PA
+-----------+
2D Packing Heuristic in Truck P228551401
Min2DVol: 17.202000000000005 [m2]
Stack 0 with items: ['0091017200_03072022012614', '0091017200_03072022012614']
Stack 1 with items: ['0091017200_03072022012614', '0091017200_03072022012614']
Stack 2 with items: ['0091017200_03072022012614', '0091017200_03072022012614']
Stack 3 with items: ['0091017200_03072022012614', '0091017200_03072022012614']
Stack 4 with items: ['0091017200_03072022012614', '0091017200_03072022012614']
Stack 5 with items: ['0091017200_03072022012614', '0091017200_03072022012614']
Stack 6 with items: ['0091017200_03072022012614', '0091017200_03072022012614']
Stack 7 with items: ['0091017200_03072022012614', '0091017200_03072022012614']
Stack 8 with items: ['0091017200_03072022012614', '0091017200_03072022012614']
Stack 9 with items: ['0091017200_03072022012614', '0091017200_03072022012614']
Stack 10 with items: ['0091017200_03072022012614', '0091017200_03072022012614']
Stack 11 with items: ['0091017200_03072022012614', '0091017200_03072022012614']
Stack 12 with items: ['0091017200_03072022012614', '0091017200_03072022012614']
Stack 13 with items: ['0091017200_03072022012614', '0091017200_03072022012614']
Stack 14 with items: ['0091017200_03072022012614', '0091017200_03072022012614']
Stack 15 with items: ['0091017200_03072022012614', '0091017200_03072022012614']
Stack 16 with items: ['0091017200_03072022012614', '0091017200_03072022012614']
Stack 17 with items: ['0091017200_03072022012614', '0091017200_03072022012614']
Stack 18 with items: ['0091017200_03072022015278', '0091017200_03072022015278']
Stacks not packed:
Stack 18 missing: ['0091017200_03072022015278', '0091017200_03072022015278']
