dataset: A
instance: BY2
+-----------+
2D Packing Heuristic in Truck P258067503
Min2DVol: 32.88762000000001 [m2]
Stack 0 with items: ['0090016900_03072022012518', '0090016900_03072022012328']
Stack 1 with items: ['0090016900_03072022012328', '0090016900_03072022012328']
Stack 2 with items: ['0090016900_03072022012328', '0090016900_03072022012328']
Stack 3 with items: ['0090016900_03072022012328', '0090016900_03072022012328']
Stack 4 with items: ['0090016900_03072022012328', '0090016900_03072022012328']
Stack 5 with items: ['0090016900_03072022012328', '0090016900_03072022008002']
Stack 6 with items: ['0090016900_03072022007573', '0090016900_03072022007573']
Stack 7 with items: ['0090016900_03072022007573', '0090016900_03072022007573']
Stack 8 with items: ['0090016900_03072022005374', '0090016900_03072022005374']
Stack 9 with items: ['0090016900_03072022005374', '0090016900_03072022005374']
Stack 10 with items: ['0090016900_03072022002201', '0090016900_03072022002201']
Stack 11 with items: ['0090016900_03072022002201', '0090016900_03072022002201']
Stack 12 with items: ['0090016900_03072022002201', '0090016900_03072022002201']
Stack 13 with items: ['0090016900_03072022002201', '0090016900_03072022002201']
Stack 14 with items: ['0090016900_03072022002201', '0090016900_03072022002201']
Stack 15 with items: ['0090016900_03072022006258', '0090016900_03072022006258', '0090016900_03072022013161']
Stack 16 with items: ['0090016900_03072022006258', '0090016900_03072022006258']
Stack 17 with items: ['0090016900_03072022006258', '0090016900_03072022006258']
Stack 18 with items: ['0090016900_03072022006258', '0090016900_03072022006258']
Stack 19 with items: ['0090016900_03072022006258', '0090016900_03072022006258']
Stack 20 with items: ['0090016900_03072022006258', '0090016900_03072022006258']
Stack 21 with items: ['0090016900_03072022000378', '0090016900_03072022000378']
Stack 22 with items: ['0090016900_03072022000378', '0090016900_03072022000378']
Stack 23 with items: ['0090016900_03072022000378', '0090016900_03072022000378']
Stack 24 with items: ['0090016900_03072022000378', '0090016900_03072022000378']
Stack 25 with items: ['0090016900_03072022000378', '0090016900_03072022000378']
Stack 26 with items: ['0090016900_03072022000378', '0090016900_03072022000378']
Stacks not packed:
Stack 14 missing: ['0090016900_03072022002201', '0090016900_03072022002201']
