dataset: X
instance: AS3
+-----------+
2D Packing Heuristic in Truck P220721901
Min2DVol: 32.879999999999995 [m2]
Stack 0 with items: ['0090018000_08062023005442', '0090018000_08062023000524']
Stack 1 with items: ['0090018000_08062023014250', '0090018000_08062023014250', '0090018000_08062023014250']
Stack 2 with items: ['0090018000_08062023012302', '0090018000_08062023012302', '0090018000_08062023012302']
Stack 3 with items: ['0090018000_08062023012302', '0090018000_08062023012302', '0090018000_08062023012302']
Stack 4 with items: ['0090018000_08062023012302', '0090018000_08062023012302', '0090018000_08062023012302']
Stack 5 with items: ['0090018000_08062023012302', '0090018000_08062023012302', '0090018000_08062023012302']
Stack 6 with items: ['0090018000_08062023012302', '0090018000_08062023012302', '0090018000_08062023012302']
Stack 7 with items: ['0090018000_08062023012302', '0090018000_08062023008428', '0090018000_08062023007875']
Stack 8 with items: ['0090018000_08062023007875', '0090018000_08062023007875', '0090018000_08062023007875']
Stack 9 with items: ['0090018000_08062023007875', '0090018000_08062023007875', '0090018000_08062023007875']
Stack 10 with items: ['0090018000_08062023007875', '0090018000_08062023004777', '0090018000_08062023007875']
Stack 11 with items: ['0090018000_08062023004777', '0090018000_08062023004777', '0090018000_08062023004777']
Stack 12 with items: ['0090018000_08062023004777', '0090018000_08062023004777', '0090018000_08062023004777']
Stack 13 with items: ['0090018000_08062023004777', '0090018000_08062023004777', '0090018000_08062023004777']
Stack 14 with items: ['0090018000_08062023004777', '0090018000_08062023004777', '0090018000_08062023004777']
Stack 15 with items: ['0090018000_08062023004777', '0090018000_08062023004777', '0090018000_08062023004777']
Stack 16 with items: ['0090018000_08062023002691', '0090018000_08062023002691', '0090018000_08062023002691']
Stack 17 with items: ['0090018000_08062023002691', '0090018000_08062023002546', '0090018000_08062023002691']
Stack 18 with items: ['0090018000_08062023002546', '0090018000_08062023001849', '0090018000_08062023001849']
Stack 19 with items: ['0090018000_08062023001849', '0090018000_08062023001849', '0090018000_08062023001849']
Stack 20 with items: ['0090018000_08062023001849', '0090018000_08062023001849', '0090018000_08062023001849']
Stack 21 with items: ['0090018000_08062023006716', '0090018000_08062023003587', '0090018000_08062023010787']
Stack 22 with items: ['0090018000_08062023010787', '0090018000_08062023010787', '0090018000_08062023010787']
Stack 23 with items: ['0090018000_08062023010787', '0090018000_08062023010787', '0090018000_08062023010787']
Stack 24 with items: ['0090018000_08062023003587', '0090018000_08062023003587', '0090018000_08062023003587']
Heuristic packed all stacks
