dataset: X
instance: CI2
+-----------+
2D Packing Heuristic in Truck P195400307
Min2DVol: 31.252985999999986 [m2]
Stack 0 with items: ['0090016800_08062023029661', '0090016800_08062023029661']
Stack 1 with items: ['0090016800_08062023004732', '0090016800_08062023004732']
Stack 2 with items: ['0090016800_08062023004743', '0090016800_08062023009485']
Stack 3 with items: ['0090016800_08062023045804', '0090016800_08062023045804', '0090016800_08062023045804']
Stack 4 with items: ['0090016800_08062023045804', '0090016800_08062023045804', '0090016800_08062023045804']
Stack 5 with items: ['0090016800_08062023045804', '0090016800_08062023045804', '0090016800_08062023045804']
Stack 6 with items: ['0090016800_08062023045804', '0090016800_08062023045804', '0090016800_08062023045804']
Stack 7 with items: ['0090016800_08062023045804', '0090016800_08062023045804', '0090016800_08062023045804']
Stack 8 with items: ['0090016800_08062023043618', '0090016800_08062023043618', '0090016800_08062023043618']
Stack 9 with items: ['0090016800_08062023043618', '0090016800_08062023043618', '0090016800_08062023043618']
Stack 10 with items: ['0090016800_08062023043618', '0090016800_08062023043618', '0090016800_08062023043618']
Stack 11 with items: ['0090016800_08062023043618', '0090016800_08062023043618', '0090016800_08062023043618']
Stack 12 with items: ['0090016800_08062023036458', '0090016800_08062023035241', '0090016800_08062023036458']
Stack 13 with items: ['0090016800_08062023035241', '0090016800_08062023020806', '0090016800_08062023019534']
Stack 14 with items: ['0090016800_08062023027957', '0090016800_08062023027957', '0090016800_08062023027957']
Stack 15 with items: ['0090016800_08062023027957', '0090016800_08062023027957', '0090016800_08062023027957']
Stack 16 with items: ['0090016800_08062023027957', '0090016800_08062023027957', '0090016800_08062023027957']
Stack 17 with items: ['0090016800_08062023027957', '0090016800_08062023027957', '0090016800_08062023027957']
Stack 18 with items: ['0090016800_08062023021543', '0090016800_08062023021543', '0090016800_08062023021543']
Stack 19 with items: ['0090016800_08062023021543', '0090016800_08062023021543', '0090016800_08062023021543']
Stack 20 with items: ['0090016800_08062023021543', '0090016800_08062023021543', '0090016800_08062023021543']
Stack 21 with items: ['0090016800_08062023021543', '0090016800_08062023021543', '0090016800_08062023021543']
Stack 22 with items: ['0090016800_08062023021543', '0090016800_08062023021543', '0090016800_08062023021543']
Stack 23 with items: ['0090016800_08062023021543', '0090016800_08062023021543', '0090016800_08062023021543']
Stack 24 with items: ['0090016800_08062023021543', '0090016800_08062023021543', '0090016800_08062023021543']
Stack 25 with items: ['0090016800_08062023021543', '0090016800_08062023021543', '0090016800_08062023021543']
Heuristic packed all stacks
