dataset: C
instance: RM3
+-----------+
2D Packing Heuristic in Truck P068395103
Min2DVol: 30.765150000000027 [m2]
Stack 0 with items: ['0090038200_28022023014113', '0090038200_28022023001028']
Stack 1 with items: ['0090038200_28022023002432', '0090038200_28022023001153']
Stack 2 with items: ['0090038200_28022023008985', '0090038200_28022023004313', '0090038200_28022023007888', '0090038200_28022023003389']
Stack 3 with items: ['0090038200_28022023011227', '0090038200_28022023010952', '0090038200_28022023009828']
Stack 4 with items: ['0090038200_28022023013855', '0090038200_28022023012286']
Stack 5 with items: ['0090038200_28022023014414', '0090038200_28022023014414', '0090038200_28022023014414']
Stack 6 with items: ['0090038200_28022023012786', '0090038200_28022023009633', '0090038200_28022023009633']
Stack 7 with items: ['0090038200_28022023009633', '0090038200_28022023009633', '0090038200_28022023009633']
Stack 8 with items: ['0090038200_28022023009633', '0090038200_28022023009633', '0090038200_28022023009633']
Stack 9 with items: ['0090038200_28022023009633', '0090038200_28022023009633', '0090038200_28022023009633']
Stack 10 with items: ['0090038200_28022023009633', '0090038200_28022023009633', '0090038200_28022023009633']
Stack 11 with items: ['0090038200_28022023009633', '0090038200_28022023009633', '0090038200_28022023009633']
Stack 12 with items: ['0090038200_28022023009633', '0090038200_28022023007638', '0090038200_28022023009633']
Stack 13 with items: ['0090038200_28022023006844', '0090038200_28022023004656', '0090038200_28022023004656']
Stack 14 with items: ['0090038200_28022023004656', '0090038200_28022023004656', '0090038200_28022023004656']
Stack 15 with items: ['0090038200_28022023004656', '0090038200_28022023004656', '0090038200_28022023004656']
Stack 16 with items: ['0090038200_28022023004656', '0090038200_28022023004656', '0090038200_28022023004656']
Stack 17 with items: ['0090038200_28022023004656', '0090038200_28022023004656', '0090038200_28022023004656']
Stack 18 with items: ['0090038200_28022023004221', '0090038200_28022023002364', '0090038200_28022023004221']
Stack 19 with items: ['0090038200_28022023002364', '0090038200_28022023002364', '0090038200_28022023002364']
Stack 20 with items: ['0090038200_28022023001117', '0090038200_28022023001117', '0090038200_28022023001117']
Stack 21 with items: ['0090038200_28022023001817', '0090038200_28022023001817', '0090038200_28022023001817']
Stack 22 with items: ['0090038200_28022023001817', '0090038200_28022023003001', '0090038200_28022023003001']
Stack 23 with items: ['0090038200_28022023007442', '0090038200_28022023007442', '0090038200_28022023007442']
Stack 24 with items: ['0090038200_28022023014235']
Stack 25 with items: ['0090038200_28022023013001', '0090038200_28022023006116', '0090038200_28022023006116']
Stack 26 with items: ['0090038200_28022023010370', '0090038200_28022023006116', '0090038200_28022023006116']
Stack 27 with items: ['0090038200_28022023006116', '0090038200_28022023006116', '0090038200_28022023006116']
Stack 28 with items: ['0090038200_28022023013001', '0090038200_28022023013001', '0090038200_28022023013001']
Stack 29 with items: ['0090038200_28022023003311', '0090038200_28022023013001', '0090038200_28022023013001']
Stack 30 with items: ['0090038200_28022023013001', '0090038200_28022023004989', '0090038200_28022023004989']
Stack 31 with items: ['0090038200_28022023004050', '0090038200_28022023004050', '0090038200_28022023010009']
Stack 32 with items: ['0090038200_28022023013001', '0090038200_28022023003311', '0090038200_28022023003311']
Stack 33 with items: ['0090038200_28022023006116', '0090038200_28022023007578', '0090038200_28022023007578']
Stack 34 with items: ['0090038200_28022023003311', '0090038200_28022023010370', '0090038200_28022023010370']
Stack 35 with items: ['0090038200_28022023009763', '0090038200_28022023003311', '0090038200_28022023010370']
Stacks not packed:
Stack 5 missing: ['0090038200_28022023014414', '0090038200_28022023014414', '0090038200_28022023014414']
Stack 6 missing: ['0090038200_28022023012786', '0090038200_28022023009633', '0090038200_28022023009633']
Stack 11 missing: ['0090038200_28022023009633', '0090038200_28022023009633', '0090038200_28022023009633']
Stack 12 missing: ['0090038200_28022023009633', '0090038200_28022023007638', '0090038200_28022023009633']
Stack 13 missing: ['0090038200_28022023006844', '0090038200_28022023004656', '0090038200_28022023004656']
Stack 14 missing: ['0090038200_28022023004656', '0090038200_28022023004656', '0090038200_28022023004656']
Stack 15 missing: ['0090038200_28022023004656', '0090038200_28022023004656', '0090038200_28022023004656']
Stack 16 missing: ['0090038200_28022023004656', '0090038200_28022023004656', '0090038200_28022023004656']
Stack 17 missing: ['0090038200_28022023004656', '0090038200_28022023004656', '0090038200_28022023004656']
Stack 18 missing: ['0090038200_28022023004221', '0090038200_28022023002364', '0090038200_28022023004221']
Stack 19 missing: ['0090038200_28022023002364', '0090038200_28022023002364', '0090038200_28022023002364']
Stack 21 missing: ['0090038200_28022023001817', '0090038200_28022023001817', '0090038200_28022023001817']
Stack 22 missing: ['0090038200_28022023001817', '0090038200_28022023003001', '0090038200_28022023003001']
Stack 23 missing: ['0090038200_28022023007442', '0090038200_28022023007442', '0090038200_28022023007442']
