dataset: X
instance: AS2
+-----------+
2D Packing Heuristic in Truck P178702901
Min2DVol: 26.399999999999995 [m2]
Stack 0 with items: ['0090018000_08062023014296', '0090018000_08062023014296', '0090018000_08062023014296']
Stack 1 with items: ['0090018000_08062023014296', '0090018000_08062023014296', '0090018000_08062023014296']
Stack 2 with items: ['0090018000_08062023014296', '0090018000_08062023014296', '0090018000_08062023014296']
Stack 3 with items: ['0090018000_08062023014296', '0090018000_08062023014296', '0090018000_08062023014296']
Stack 4 with items: ['0090018000_08062023014296', '0090018000_08062023014296', '0090018000_08062023014296']
Stack 5 with items: ['0090018000_08062023014296', '0090018000_08062023014296', '0090018000_08062023014296']
Stack 6 with items: ['0090018000_08062023014296', '0090018000_08062023008886', '0090018000_08062023014296']
Stack 7 with items: ['0090018000_08062023008886', '0090018000_08062023008886', '0090018000_08062023008886']
Stack 8 with items: ['0090018000_08062023008886', '0090018000_08062023008886', '0090018000_08062023008886']
Stack 9 with items: ['0090018000_08062023008886', '0090018000_08062023008886', '0090018000_08062023008886']
Stack 10 with items: ['0090018000_08062023008886', '0090018000_08062023008886', '0090018000_08062023008886']
Stack 11 with items: ['0090018000_08062023008886', '0090018000_08062023008886', '0090018000_08062023008886']
Stack 12 with items: ['0090018000_08062023008886', '0090018000_08062023008886', '0090018000_08062023008886']
Stack 13 with items: ['0090018000_08062023008886', '0090018000_08062023007012', '0090018000_08062023007012']
Stack 14 with items: ['0090018000_08062023007012', '0090018000_08062023007012', '0090018000_08062023007012']
Stack 15 with items: ['0090018000_08062023007012', '0090018000_08062023007012', '0090018000_08062023007012']
Stack 16 with items: ['0090018000_08062023007012', '0090018000_08062023007012', '0090018000_08062023007012']
Stack 17 with items: ['0090018000_08062023007012', '0090018000_08062023003828', '0090018000_08062023003828']
Stack 18 with items: ['0090018000_08062023003828', '0090018000_08062023003828', '0090018000_08062023003828']
Stack 19 with items: ['0090018000_08062023003828', '0090018000_08062023003828', '0090018000_08062023003828']
Stack 20 with items: ['0090018000_08062023003828', '0090018000_08062023003828', '0090018000_08062023003828']
Stack 21 with items: ['0090018000_08062023003828']
Heuristic packed all stacks
