dataset: C
instance: MA3
+-----------+
2D Packing Heuristic in Truck P102036805
Min2DVol: 31.961796 [m2]
Stack 0 with items: ['0090016200_28022023000867', '0090016200_28022023023774']
Stack 1 with items: ['0090016200_28022023025954', '0090016200_28022023015006']
Stack 2 with items: ['0090016200_28022023016089', '0090016200_28022023015006']
Stack 3 with items: ['0090016200_28022023002330', '0090016200_28022023005957']
Stack 4 with items: ['0090016200_28022023032761', '0090016200_28022023021935', '0090016200_28022023032761']
Stack 5 with items: ['0090016200_28022023010882', '0090016200_28022023010680', '0090016200_28022023010882']
Stack 6 with items: ['0090016200_28022023010680', '0090016200_28022023005615', '0090016200_28022023005615']
Stack 7 with items: ['0090016200_28022023005615', '0090016200_28022023005615', '0090016200_28022023005615']
Stack 8 with items: ['0090016200_28022023005615', '0090016200_28022023005615', '0090016200_28022023005615']
Stack 9 with items: ['0090016200_28022023005615', '0090016200_28022023005615', '0090016200_28022023005615']
Stack 10 with items: ['0090016200_28022023005615', '0090016200_28022023005615', '0090016200_28022023005615']
Stack 11 with items: ['0090016200_28022023005615', '0090016200_28022023005615', '0090016200_28022023005615']
Stack 12 with items: ['0090016200_28022023002561', '0090016200_28022023002404', '0090016200_28022023002561']
Stack 13 with items: ['0090016200_28022023002404', '0090016200_28022023002404', '0090016200_28022023002404']
Stack 14 with items: ['0090016200_28022023002404', '0090016200_28022023002404', '0090016200_28022023002404']
Stack 15 with items: ['0090016200_28022023002404', '0090016200_28022023002404', '0090016200_28022023002404']
Stack 16 with items: ['0090016200_28022023020973', '0090016200_28022023012945', '0090016200_28022023012945']
Stack 17 with items: ['0090016200_28022023027500', '0090016200_28022023027500', '0090016200_28022023027500']
Stack 18 with items: ['0090016200_28022023012945', '0090016200_28022023027500', '0090016200_28022023027500']
Stack 19 with items: ['0090016200_28022023027500', '0090016200_28022023027500', '0090016200_28022023027500']
Stack 20 with items: ['0090016200_28022023021564', '0090016200_28022023021564', '0090016200_28022023021564']
Stack 21 with items: ['0090016200_28022023020112', '0090016200_28022023020112', '0090016200_28022023021564']
Stack 22 with items: ['0090016200_28022023020112', '0090016200_28022023021201', '0090016200_28022023021201']
Stack 23 with items: ['0090016200_28022023021564', '0090016200_28022023021564', '0090016200_28022023021564']
Heuristic packed all stacks
