dataset: X
instance: DO
+-----------+
2D Packing Heuristic in Truck P199041113
Min2DVol: 29.04 [m2]
Stack 0 with items: ['0090019100_08062023004135', '0090019100_08062023001356', '0090019100_08062023004135']
Stack 1 with items: ['0090019100_08062023000508']
Stack 2 with items: ['0090019100_08062023001241', '0090019100_08062023001241', '0090019100_08062023001241']
Stack 3 with items: ['0090019100_08062023006598']
Stack 4 with items: ['0090019100_08062023003208', '0090019100_08062023003208']
Stack 5 with items: ['0090019100_08062023003208', '0090019100_08062023003208']
Stack 6 with items: ['0090019100_08062023003208', '0090019100_08062023003208']
Stack 7 with items: ['0090019100_08062023003208', '0090019100_08062023003208']
Stack 8 with items: ['0090019100_08062023003208', '0090019100_08062023003208']
Stack 9 with items: ['0090019100_08062023003208', '0090019100_08062023003208']
Stack 10 with items: ['0090019100_08062023003208', '0090019100_08062023003208']
Stack 11 with items: ['0090019100_08062023003208', '0090019100_08062023003208']
Stack 12 with items: ['0090019100_08062023003208', '0090019100_08062023003208']
Stack 13 with items: ['0090019100_08062023007533', '0090019100_08062023007533']
Stack 14 with items: ['0090019100_08062023007533', '0090019100_08062023007533']
Heuristic packed all stacks
