dataset: A
instance: TA
+-----------+
2D Packing Heuristic in Truck P251385701
Min2DVol: 28.8516 [m2]
Stack 0 with items: ['0090038300_03072022012534', '0090038300_03072022012534', '0090038300_03072022012534']
Stack 1 with items: ['0090038300_03072022012534', '0090038300_03072022012534', '0090038300_03072022012534']
Stack 2 with items: ['0090038300_03072022012534', '0090038300_03072022012017', '0090038300_03072022012534']
Stack 3 with items: ['0090038300_03072022012017', '0090038300_03072022012017', '0090038300_03072022012017']
Stack 4 with items: ['0090038300_03072022012017', '0090038300_03072022012017', '0090038300_03072022012017']
Stack 5 with items: ['0090038300_03072022012017', '0090038300_03072022012017', '0090038300_03072022012017']
Stack 6 with items: ['0090038300_03072022012017', '0090038300_03072022012017', '0090038300_03072022012017']
Stack 7 with items: ['0090038300_03072022012017', '0090038300_03072022011677', '0090038300_03072022012017']
Stack 8 with items: ['0090038300_03072022011677', '0090038300_03072022011677', '0090038300_03072022011677']
Stack 9 with items: ['0090038300_03072022011677', '0090038300_03072022011637', '0090038300_03072022007922']
Stack 10 with items: ['0090038300_03072022011637', '0090038300_03072022011518']
Stack 11 with items: ['0090038300_03072022011518', '0090038300_03072022011518', '0090038300_03072022011518']
Stack 12 with items: ['0090038300_03072022011518', '0090038300_03072022007922', '0090038300_03072022007922']
Stack 13 with items: ['0090038300_03072022007922', '0090038300_03072022007922', '0090038300_03072022007922']
Stack 14 with items: ['0090038300_03072022007922', '0090038300_03072022007922', '0090038300_03072022007922']
Stack 15 with items: ['0090038300_03072022007922', '0090038300_03072022007922', '0090038300_03072022007922']
Stack 16 with items: ['0090038300_03072022007922', '0090038300_03072022007922', '0090038300_03072022007922']
Stack 17 with items: ['0090038300_03072022007922', '0090038300_03072022007922', '0090038300_03072022007922']
Stack 18 with items: ['0090038300_03072022007146', '0090038300_03072022007146', '0090038300_03072022007146']
Stack 19 with items: ['0090038300_03072022007146', '0090038300_03072022007044', '0090038300_03072022007044']
Stack 20 with items: ['0090038300_03072022007044', '0090038300_03072022007044', '0090038300_03072022007044']
Stack 21 with items: ['0090038300_03072022007044', '0090038300_03072022006936', '0090038300_03072022007044']
Stack 22 with items: ['0090038300_03072022006524', '0090038300_03072022006524', '0090038300_03072022006524']
Stack 23 with items: ['0090038300_03072022006524', '0090038300_03072022006524', '0090038300_03072022006524']
Stack 24 with items: ['0090038300_03072022006524', '0090038300_03072022006524', '0090038300_03072022006524']
Stack 25 with items: ['0090038300_03072022006524', '0090038300_03072022004868', '0090038300_03072022004868']
Stack 26 with items: ['0090038300_03072022004868', '0090038300_03072022004824', '0090038300_03072022004868']
Stack 27 with items: ['0090038300_03072022004868', '0090038300_03072022004824', '0090038300_03072022004868']
Stack 28 with items: ['0090038300_03072022004848', '0090038300_03072022004848', '0090038300_03072022004848']
Stack 29 with items: ['0090038300_03072022004848', '0090038300_03072022004824', '0090038300_03072022004824']
Stack 30 with items: ['0090038300_03072022004824', '0090038300_03072022004824', '0090038300_03072022004824']
Stack 31 with items: ['0090038300_03072022004824', '0090038300_03072022004824', '0090038300_03072022004824']
Stack 32 with items: ['0090038300_03072022004824', '0090038300_03072022004824', '0090038300_03072022004824']
Stack 33 with items: ['0090038300_03072022004824', '0090038300_03072022004824', '0090038300_03072022004824']
Stack 34 with items: ['0090038300_03072022004718', '0090038300_03072022004219', '0090038300_03072022004219']
Stack 35 with items: ['0090038300_03072022004718', '0090038300_03072022004219', '0090038300_03072022004219']
Stack 36 with items: ['0090038300_03072022004718', '0090038300_03072022003277', '0090038300_03072022002725']
Stack 37 with items: ['0090038300_03072022003277', '0090038300_03072022003147', '0090038300_03072022003277']
Stack 38 with items: ['0090038300_03072022002725', '0090038300_03072022002612', '0090038300_03072022002725']
Stack 39 with items: ['0090038300_03072022002612', '0090038300_03072022002612', '0090038300_03072022002612']
Stack 40 with items: ['0090038300_03072022002612', '0090038300_03072022001907', '0090038300_03072022002612']
Stack 41 with items: ['0090038300_03072022001907', '0090038300_03072022001350', '0090038300_03072022001350']
Stack 42 with items: ['0090038300_03072022001350', '0090038300_03072022001350', '0090038300_03072022001350']
Stack 43 with items: ['0090038300_03072022001350', '0090038300_03072022001350', '0090038300_03072022001350']
Stack 44 with items: ['0090038300_03072022000450', '0090038300_03072022000450', '0090038300_03072022000450']
Stack 45 with items: ['0090038300_03072022000450']
Stack 46 with items: ['0090038300_03072022011648', '0090038300_03072022006002']
Stack 47 with items: ['0090038300_03072022012431', '0090038300_03072022012431', '0090038300_03072022012431']
Stack 48 with items: ['0090038300_03072022001658', '0090038300_03072022011648', '0090038300_03072022011648']
Stack 49 with items: ['0090038300_03072022006002', '0090038300_03072022006002', '0090038300_03072022006002']
Stack 50 with items: ['0090038300_03072022006002', '0090038300_03072022006002', '0090038300_03072022006002']
Stack 51 with items: ['0090038300_03072022011318', '0090038300_03072022011648', '0090038300_03072022011648']
Stack 52 with items: ['0090038300_03072022011648']
Heuristic packed all stacks
