dataset: A
instance: MT
+-----------+
2D Packing Heuristic in Truck P208629401
Min2DVol: 17.4 [m2]
Stack 0 with items: ['0091017700_03072022003309', '0091017700_03072022000668', '0091017700_03072022003309']
Stack 1 with items: ['0091017700_03072022003309', '0091017700_03072022001553']
Stack 2 with items: ['0091017700_03072022001553', '0091017700_03072022001553']
Stack 3 with items: ['0091017700_03072022001553', '0091017700_03072022001553']
Stack 4 with items: ['0091017700_03072022001553', '0091017700_03072022001553']
Stack 5 with items: ['0091017700_03072022001553', '0091017700_03072022001553']
Stack 6 with items: ['0091017700_03072022001553', '0091017700_03072022001553']
Stack 7 with items: ['0091017700_03072022001553', '0091017700_03072022001553']
Stack 8 with items: ['0091017700_03072022001553', '0091017700_03072022001532']
Stack 9 with items: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 10 with items: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 11 with items: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 12 with items: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 13 with items: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 14 with items: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 15 with items: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 16 with items: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 17 with items: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 18 with items: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 19 with items: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 20 with items: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 21 with items: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 22 with items: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 23 with items: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 24 with items: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 25 with items: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 26 with items: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 27 with items: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 28 with items: ['0091017700_03072022000977']
Stacks not packed:
Stack 0 missing: ['0091017700_03072022003309', '0091017700_03072022000668', '0091017700_03072022003309']
Stack 22 missing: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 23 missing: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 24 missing: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 25 missing: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 26 missing: ['0091017700_03072022000977', '0091017700_03072022000977']
Stack 27 missing: ['0091017700_03072022000977', '0091017700_03072022000977']
