dataset: X
instance: SA
+-----------+
2D Packing Heuristic in Truck P207151101
Min2DVol: 25.856999999999992 [m2]
Stack 0 with items: ['0090017100_08062023024688', '0090017100_08062023024688', '0090017100_08062023024688', '0090017100_08062023024688']
Stack 1 with items: ['0090017100_08062023024688', '0090017100_08062023024688', '0090017100_08062023024688', '0090017100_08062023024688']
Stack 2 with items: ['0090017100_08062023024688', '0090017100_08062023024688', '0090017100_08062023024688', '0090017100_08062023024688']
Stack 3 with items: ['0090017100_08062023024688', '0090017100_08062023024688', '0090017100_08062023024688', '0090017100_08062023024688']
Stack 4 with items: ['0090017100_08062023024688', '0090017100_08062023024688', '0090017100_08062023024688', '0090017100_08062023024688']
Stack 5 with items: ['0090017100_08062023024688', '0090017100_08062023023885', '0090017100_08062023023885', '0090017100_08062023024688']
Stack 6 with items: ['0090017100_08062023023885', '0090017100_08062023023885', '0090017100_08062023023885', '0090017100_08062023023885']
Stack 7 with items: ['0090017100_08062023023885', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023023885']
Stack 8 with items: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 9 with items: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 10 with items: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 11 with items: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 12 with items: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 13 with items: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 14 with items: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 15 with items: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 16 with items: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 17 with items: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 18 with items: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 19 with items: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 20 with items: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 21 with items: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 22 with items: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 23 with items: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 24 with items: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 25 with items: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stacks not packed:
Stack 12 missing: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 13 missing: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 14 missing: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 15 missing: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 16 missing: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 17 missing: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 18 missing: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 19 missing: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 20 missing: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 21 missing: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 22 missing: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 23 missing: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 24 missing: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
Stack 25 missing: ['0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425', '0090017100_08062023019425']
