dataset: C
instance: FL3
+-----------+
2D Packing Heuristic in Truck P068172401
Min2DVol: 32.43611999999999 [m2]
Stack 0 with items: ['0090015100_28022023005999', '0090015100_28022023002690', '0090015100_28022023005058', '0090015100_28022023005609', '0090015100_28022023001543']
Stack 1 with items: ['0090015100_28022023000009', '0090015100_28022023004452', '0090015100_28022023004452', '0090015100_28022023004452', '0090015100_28022023005411']
Stack 2 with items: ['0090015100_28022023004263', '0090015100_28022023004263', '0090015100_28022023004263']
Stack 3 with items: ['0090015100_28022023004263', '0090015100_28022023004263', '0090015100_28022023004263']
Stack 4 with items: ['0090015100_28022023004263', '0090015100_28022023004263', '0090015100_28022023004263']
Stack 5 with items: ['0090015100_28022023004263', '0090015100_28022023004263', '0090015100_28022023004263']
Stack 6 with items: ['0090015100_28022023004263', '0090015100_28022023004263', '0090015100_28022023004263']
Stack 7 with items: ['0090015100_28022023003477', '0090015100_28022023003477', '0090015100_28022023003477']
Stack 8 with items: ['0090015100_28022023003477', '0090015100_28022023003477', '0090015100_28022023003477']
Stack 9 with items: ['0090015100_28022023003477', '0090015100_28022023003477', '0090015100_28022023003477']
Stack 10 with items: ['0090015100_28022023005324', '0090015100_28022023005103', '0090015100_28022023005103', '0090015100_28022023005103']
Stack 11 with items: ['0090015100_28022023005103', '0090015100_28022023005103', '0090015100_28022023005103', '0090015100_28022023005103']
Stack 12 with items: ['0090015100_28022023005103', '0090015100_28022023005103', '0090015100_28022023005103', '0090015100_28022023005103']
Stack 13 with items: ['0090015100_28022023005103', '0090015100_28022023005103', '0090015100_28022023005103', '0090015100_28022023005103']
Stack 14 with items: ['0090015100_28022023005103', '0090015100_28022023005103', '0090015100_28022023005103', '0090015100_28022023005103']
Stack 15 with items: ['0090015100_28022023004566', '0090015100_28022023004566', '0090015100_28022023004566', '0090015100_28022023004566']
Stack 16 with items: ['0090015100_28022023004566', '0090015100_28022023004566', '0090015100_28022023004566', '0090015100_28022023004566']
Stack 17 with items: ['0090015100_28022023004566', '0090015100_28022023004566', '0090015100_28022023004566', '0090015100_28022023004566']
Stack 18 with items: ['0090015100_28022023004566', '0090015100_28022023004566', '0090015100_28022023004566', '0090015100_28022023004566']
Stack 19 with items: ['0090015100_28022023004566', '0090015100_28022023004566', '0090015100_28022023004566', '0090015100_28022023004566']
Stack 20 with items: ['0090015100_28022023004566', '0090015100_28022023004566', '0090015100_28022023004566', '0090015100_28022023004566']
Stack 21 with items: ['0090015100_28022023004566', '0090015100_28022023004249', '0090015100_28022023004249', '0090015100_28022023004249']
Stack 22 with items: ['0090015100_28022023004249', '0090015100_28022023004249', '0090015100_28022023004249', '0090015100_28022023004249']
Stack 23 with items: ['0090015100_28022023004249', '0090015100_28022023004249', '0090015100_28022023004249', '0090015100_28022023004249']
Stack 24 with items: ['0090015100_28022023004249', '0090015100_28022023004249', '0090015100_28022023004249', '0090015100_28022023004249']
Stack 25 with items: ['0090015100_28022023004249', '0090015100_28022023004249', '0090015100_28022023004249', '0090015100_28022023004249']
Stack 26 with items: ['0090015100_28022023004249', '0090015100_28022023004249', '0090015100_28022023004249', '0090015100_28022023004249']
Stacks not packed:
Stack 14 missing: ['0090015100_28022023005103', '0090015100_28022023005103', '0090015100_28022023005103', '0090015100_28022023005103']
