dataset: A
instance: SA2
+-----------+
2D Packing Heuristic in Truck P237157207
Min2DVol: 14.399999999999997 [m2]
Stack 0 with items: ['0090017100_03072022011367', '0090017100_03072022011367', '0090017100_03072022011367']
Stack 1 with items: ['0090017100_03072022011367', '0090017100_03072022011367', '0090017100_03072022011367']
Stack 2 with items: ['0090017100_03072022011367', '0090017100_03072022011367', '0090017100_03072022011367']
Stack 3 with items: ['0090017100_03072022011367', '0090017100_03072022009687', '0090017100_03072022011367']
Stack 4 with items: ['0090017100_03072022008500', '0090017100_03072022008500', '0090017100_03072022008500']
Stack 5 with items: ['0090017100_03072022008500', '0090017100_03072022008500', '0090017100_03072022008500']
Stack 6 with items: ['0090017100_03072022008500', '0090017100_03072022008500', '0090017100_03072022008500']
Stack 7 with items: ['0090017100_03072022008500', '0090017100_03072022008500', '0090017100_03072022008500']
Stack 8 with items: ['0090017100_03072022008500', '0090017100_03072022008500', '0090017100_03072022008500']
Stack 9 with items: ['0090017100_03072022008500', '0090017100_03072022005181', '0090017100_03072022005181']
Stack 10 with items: ['0090017100_03072022005181', '0090017100_03072022005181', '0090017100_03072022005181']
Stack 11 with items: ['0090017100_03072022003965', '0090017100_03072022003965', '0090017100_03072022003965']
Heuristic packed all stacks
