dataset: X
instance: SA
+-----------+
2D Packing Heuristic in Truck P166056201
Min2DVol: 22.29030000000001 [m2]
Stack 0 with items: ['0090017100_08062023006264', '0090017100_08062023024015']
Stack 1 with items: ['0090017100_08062023010672', '0090017100_08062023024125']
Stack 2 with items: ['0090017100_08062023020772', '0090017100_08062023020772']
Stack 3 with items: ['0090017100_08062023018021', '0090017100_08062023018021']
Stack 4 with items: ['0090017100_08062023024015', '0090017100_08062023024015']
Stack 5 with items: ['0090017100_08062023004195', '0090017100_08062023004195']
Stack 6 with items: ['0090017100_08062023010672', '0090017100_08062023006264']
Stack 7 with items: ['0090017100_08062023024125', '0090017100_08062023006264']
Stack 8 with items: ['0090017100_08062023010672', '0090017100_08062023004968']
Stack 9 with items: ['0090017100_08062023004968', '0090017100_08062023004968']
Stack 10 with items: ['0090017100_08062023024681', '0090017100_08062023024681', '0090017100_08062023024681']
Stack 11 with items: ['0090017100_08062023024681', '0090017100_08062023022393', '0090017100_08062023024681']
Stack 12 with items: ['0090017100_08062023014412', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 13 with items: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 14 with items: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 15 with items: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 16 with items: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 17 with items: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 18 with items: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 19 with items: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 20 with items: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 21 with items: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 22 with items: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 23 with items: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 24 with items: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 25 with items: ['0090017100_08062023013432', '0090017100_08062023009104', '0090017100_08062023013432']
Stack 26 with items: ['0090017100_08062023009104', '0090017100_08062023009104', '0090017100_08062023009104']
Stack 27 with items: ['0090017100_08062023009104', '0090017100_08062023007400', '0090017100_08062023009104']
Stack 28 with items: ['0090017100_08062023007400', '0090017100_08062023007400', '0090017100_08062023007400']
Stack 29 with items: ['0090017100_08062023007400', '0090017100_08062023007400', '0090017100_08062023007400']
Stack 30 with items: ['0090017100_08062023007400', '0090017100_08062023007400', '0090017100_08062023007400']
Stack 31 with items: ['0090017100_08062023007400', '0090017100_08062023007400', '0090017100_08062023007400']
Stack 32 with items: ['0090017100_08062023007400', '0090017100_08062023007400', '0090017100_08062023007400']
Stack 33 with items: ['0090017100_08062023007400', '0090017100_08062023007400', '0090017100_08062023007400']
Stack 34 with items: ['0090017100_08062023007400', '0090017100_08062023007400', '0090017100_08062023007400']
Stack 35 with items: ['0090017100_08062023007400', '0090017100_08062023007400', '0090017100_08062023007400']
Stack 36 with items: ['0090017100_08062023007400', '0090017100_08062023007400', '0090017100_08062023007400']
Stacks not packed:
Stack 14 missing: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 15 missing: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 16 missing: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 17 missing: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 18 missing: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 19 missing: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 20 missing: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 21 missing: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 22 missing: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 23 missing: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
Stack 24 missing: ['0090017100_08062023013432', '0090017100_08062023013432', '0090017100_08062023013432']
