dataset: B
instance: TA2
+-----------+
2D Packing Heuristic in Truck P326386201
Min2DVol: 14.800000000000006 [m2]
Stack 0 with items: ['0090038300_26102022011302', '0090038300_26102022011302']
Stack 1 with items: ['0090038300_26102022010599', '0090038300_26102022010599']
Stack 2 with items: ['0090038300_26102022010599', '0090038300_26102022010599']
Stack 3 with items: ['0090038300_26102022010599', '0090038300_26102022010599']
Stack 4 with items: ['0090038300_26102022010599', '0090038300_26102022010599']
Stack 5 with items: ['0090038300_26102022010116', '0090038300_26102022009563']
Stack 6 with items: ['0090038300_26102022009563', '0090038300_26102022008975']
Stack 7 with items: ['0090038300_26102022008975', '0090038300_26102022008563']
Stack 8 with items: ['0090038300_26102022008563', '0090038300_26102022008563']
Stack 9 with items: ['0090038300_26102022008563', '0090038300_26102022008563']
Stack 10 with items: ['0090038300_26102022008563', '0090038300_26102022008563']
Stack 11 with items: ['0090038300_26102022008563', '0090038300_26102022008563']
Stack 12 with items: ['0090038300_26102022008563', '0090038300_26102022008026']
Stack 13 with items: ['0090038300_26102022008026', '0090038300_26102022008026']
Stack 14 with items: ['0090038300_26102022008026', '0090038300_26102022008026']
Stack 15 with items: ['0090038300_26102022008026', '0090038300_26102022008026']
Stack 16 with items: ['0090038300_26102022008026', '0090038300_26102022008026']
Stack 17 with items: ['0090038300_26102022008026', '0090038300_26102022008026']
Stack 18 with items: ['0090038300_26102022008026', '0090038300_26102022006715']
Stack 19 with items: ['0090038300_26102022006715', '0090038300_26102022006715']
Stack 20 with items: ['0090038300_26102022006715', '0090038300_26102022006715']
Stack 21 with items: ['0090038300_26102022006715', '0090038300_26102022006715']
Stack 22 with items: ['0090038300_26102022006715', '0090038300_26102022006715']
Stack 23 with items: ['0090038300_26102022006715', '0090038300_26102022006715']
Stack 24 with items: ['0090038300_26102022006715', '0090038300_26102022006715']
Stack 25 with items: ['0090038300_26102022006715', '0090038300_26102022006715']
Stack 26 with items: ['0090038300_26102022006582', '0090038300_26102022006402']
Stack 27 with items: ['0090038300_26102022004907', '0090038300_26102022004907']
Stack 28 with items: ['0090038300_26102022004907', '0090038300_26102022004907']
Stack 29 with items: ['0090038300_26102022004907', '0090038300_26102022004907']
Stack 30 with items: ['0090038300_26102022004907', '0090038300_26102022004907']
Stack 31 with items: ['0090038300_26102022004907', '0090038300_26102022004907']
Stack 32 with items: ['0090038300_26102022004907', '0090038300_26102022004488']
Stack 33 with items: ['0090038300_26102022004488', '0090038300_26102022004488']
Stack 34 with items: ['0090038300_26102022004488', '0090038300_26102022004488']
Stack 35 with items: ['0090038300_26102022004488', '0090038300_26102022001666']
Stack 36 with items: ['0090038300_26102022001666']
Stacks not packed:
Stack 1 missing: ['0090038300_26102022010599', '0090038300_26102022010599']
Stack 2 missing: ['0090038300_26102022010599', '0090038300_26102022010599']
Stack 3 missing: ['0090038300_26102022010599', '0090038300_26102022010599']
Stack 4 missing: ['0090038300_26102022010599', '0090038300_26102022010599']
Stack 7 missing: ['0090038300_26102022008975', '0090038300_26102022008563']
Stack 8 missing: ['0090038300_26102022008563', '0090038300_26102022008563']
Stack 9 missing: ['0090038300_26102022008563', '0090038300_26102022008563']
Stack 10 missing: ['0090038300_26102022008563', '0090038300_26102022008563']
Stack 11 missing: ['0090038300_26102022008563', '0090038300_26102022008563']
Stack 12 missing: ['0090038300_26102022008563', '0090038300_26102022008026']
Stack 18 missing: ['0090038300_26102022008026', '0090038300_26102022006715']
Stack 19 missing: ['0090038300_26102022006715', '0090038300_26102022006715']
Stack 20 missing: ['0090038300_26102022006715', '0090038300_26102022006715']
Stack 21 missing: ['0090038300_26102022006715', '0090038300_26102022006715']
Stack 22 missing: ['0090038300_26102022006715', '0090038300_26102022006715']
Stack 23 missing: ['0090038300_26102022006715', '0090038300_26102022006715']
Stack 24 missing: ['0090038300_26102022006715', '0090038300_26102022006715']
Stack 25 missing: ['0090038300_26102022006715', '0090038300_26102022006715']
Stack 26 missing: ['0090038300_26102022006582', '0090038300_26102022006402']
