dataset: X
instance: CI6
+-----------+
2D Packing Heuristic in Truck P178401713
Min2DVol: 31.326419999999985 [m2]
Stack 0 with items: ['0090016800_14062023026397', '0090016800_14062023017293']
Stack 1 with items: ['0090016800_14062023039739', '0090016800_14062023005591', '0090016800_14062023019159', '0090016800_14062023000284', '0090016800_14062023040113']
Stack 2 with items: ['0090016800_14062023031205', '0090016800_14062023030478']
Stack 3 with items: ['0090016800_14062023011185', '0090016800_14062023001231']
Stack 4 with items: ['0090016800_14062023000588', '0090016800_14062023006524']
Stack 5 with items: ['0090016800_14062023001231', '0090016800_14062023001231']
Stack 6 with items: ['0090016800_14062023019302', '0090016800_14062023032179']
Stack 7 with items: ['0090016800_14062023042220', '0090016800_14062023039402', '0090016800_14062023039402']
Stack 8 with items: ['0090016800_14062023039402', '0090016800_14062023033213', '0090016800_14062023039402']
Stack 9 with items: ['0090016800_14062023033213', '0090016800_14062023033213', '0090016800_14062023033213']
Stack 10 with items: ['0090016800_14062023033213', '0090016800_14062023032779', '0090016800_14062023033213']
Stack 11 with items: ['0090016800_14062023032779', '0090016800_14062023032674', '0090016800_14062023032779']
Stack 12 with items: ['0090016800_14062023032674', '0090016800_14062023030996', '0090016800_14062023030996']
Stack 13 with items: ['0090016800_14062023030996', '0090016800_14062023030996', '0090016800_14062023030996']
Stack 14 with items: ['0090016800_14062023030996', '0090016800_14062023030996', '0090016800_14062023030996']
Stack 15 with items: ['0090016800_14062023030996', '0090016800_14062023028952', '0090016800_14062023028952']
Stack 16 with items: ['0090016800_14062023028952', '0090016800_14062023020529', '0090016800_14062023028952']
Stack 17 with items: ['0090016800_14062023020529', '0090016800_14062023020529', '0090016800_14062023020529']
Stack 18 with items: ['0090016800_14062023018492', '0090016800_14062023018492', '0090016800_14062023018492']
Stack 19 with items: ['0090016800_14062023017738', '0090016800_14062023017738', '0090016800_14062023017738']
Stack 20 with items: ['0090016800_14062023017738', '0090016800_14062023017738', '0090016800_14062023017738']
Stack 21 with items: ['0090016800_14062023011924', '0090016800_14062023011924', '0090016800_14062023011924']
Stack 22 with items: ['0090016800_14062023011924', '0090016800_14062023011924', '0090016800_14062023011924']
Stack 23 with items: ['0090016800_14062023011890', '0090016800_14062023004405', '0090016800_14062023011890']
Stack 24 with items: ['0090016800_14062023004405', '0090016800_14062023002321', '0090016800_14062023002321']
Stack 25 with items: ['0090016800_14062023002321', '0090016800_14062023002321', '0090016800_14062023002321']
Heuristic packed all stacks
