dataset: X
instance: CI4
+-----------+
2D Packing Heuristic in Truck P173401701
Min2DVol: 31.290299999999988 [m2]
Stack 0 with items: ['0090016800_14062023009840', '0090016800_14062023039986']
Stack 1 with items: ['0090016800_14062023037512', '0090016800_14062023000697']
Stack 2 with items: ['0090016800_14062023043848', '0090016800_14062023043848']
Stack 3 with items: ['0090016800_14062023024982', '0090016800_14062023028897']
Stack 4 with items: ['0090016800_14062023000697', '0090016800_14062023000697']
Stack 5 with items: ['0090016800_14062023044191', '0090016800_14062023040814', '0090016800_14062023044191']
Stack 6 with items: ['0090016800_14062023040814', '0090016800_14062023040814', '0090016800_14062023040814']
Stack 7 with items: ['0090016800_14062023040814', '0090016800_14062023040814', '0090016800_14062023040814']
Stack 8 with items: ['0090016800_14062023040814', '0090016800_14062023031770', '0090016800_14062023031770']
Stack 9 with items: ['0090016800_14062023031770', '0090016800_14062023029487', '0090016800_14062023031770']
Stack 10 with items: ['0090016800_14062023025184', '0090016800_14062023025184', '0090016800_14062023025184']
Stack 11 with items: ['0090016800_14062023025184', '0090016800_14062023020584', '0090016800_14062023025184']
Stack 12 with items: ['0090016800_14062023020584', '0090016800_14062023020584', '0090016800_14062023020584']
Stack 13 with items: ['0090016800_14062023020584', '0090016800_14062023020584', '0090016800_14062023020584']
Stack 14 with items: ['0090016800_14062023020584', '0090016800_14062023016977', '0090016800_14062023016977']
Stack 15 with items: ['0090016800_14062023016977', '0090016800_14062023016977', '0090016800_14062023016977']
Stack 16 with items: ['0090016800_14062023016977', '0090016800_14062023016977', '0090016800_14062023016977']
Stack 17 with items: ['0090016800_14062023009716', '0090016800_14062023009716', '0090016800_14062023009716']
Stack 18 with items: ['0090016800_14062023009716', '0090016800_14062023009716', '0090016800_14062023009716']
Stack 19 with items: ['0090016800_14062023009149', '0090016800_14062023007869', '0090016800_14062023007489']
Stack 20 with items: ['0090016800_14062023007489', '0090016800_14062023007489', '0090016800_14062023007489']
Stack 21 with items: ['0090016800_14062023007489', '0090016800_14062023007489', '0090016800_14062023007489']
Stack 22 with items: ['0090016800_14062023007489', '0090016800_14062023006810', '0090016800_14062023007489']
Stack 23 with items: ['0090016800_14062023006810', '0090016800_14062023006810', '0090016800_14062023006810']
Stack 24 with items: ['0090016800_14062023006810', '0090016800_14062023005503', '0090016800_14062023005503']
Stack 25 with items: ['0090016800_14062023005503', '0090016800_14062023005503', '0090016800_14062023005503']
Heuristic packed all stacks
