dataset: X
instance: MA7
+-----------+
2D Packing Heuristic in Truck P207031507
Min2DVol: 32.452389000000004 [m2]
Stack 0 with items: ['0090016200_14062023035241', '0090016200_14062023035241']
Stack 1 with items: ['0090016200_14062023030589', '0090016200_14062023024299']
Stack 2 with items: ['0090016200_14062023024029', '0090016200_14062023024029']
Stack 3 with items: ['0090016200_14062023023501', '0090016200_14062023012358']
Stack 4 with items: ['0090016200_14062023012358', '0090016200_14062023012358']
Stack 5 with items: ['0090016200_14062023012358', '0090016200_14062023012358']
Stack 6 with items: ['0090016200_14062023012358', '0090016200_14062023010717']
Stack 7 with items: ['0090016200_14062023006408', '0090016200_14062023006408']
Stack 8 with items: ['0090016200_14062023006408', '0090016200_14062023006408']
Stack 9 with items: ['0090016200_14062023006408', '0090016200_14062023004823']
Stack 10 with items: ['0090016200_14062023004823', '0090016200_14062023004576']
Stack 11 with items: ['0090016200_14062023035499', '0090016200_14062023035368', '0090016200_14062023035059']
Stack 12 with items: ['0090016200_14062023034816', '0090016200_14062023034803', '0090016200_14062023032892']
Stack 13 with items: ['0090016200_14062023030741', '0090016200_14062023030741', '0090016200_14062023030741']
Stack 14 with items: ['0090016200_14062023030741', '0090016200_14062023030741', '0090016200_14062023030741']
Stack 15 with items: ['0090016200_14062023030741', '0090016200_14062023030741', '0090016200_14062023030741']
Stack 16 with items: ['0090016200_14062023030741', '0090016200_14062023030741', '0090016200_14062023030741']
Stack 17 with items: ['0090016200_14062023030741', '0090016200_14062023030741', '0090016200_14062023030741']
Stack 18 with items: ['0090016200_14062023030741', '0090016200_14062023030741', '0090016200_14062023030741']
Stack 19 with items: ['0090016200_14062023030741', '0090016200_14062023030741', '0090016200_14062023030741']
Stack 20 with items: ['0090016200_14062023030741', '0090016200_14062023030741', '0090016200_14062023030741']
Stack 21 with items: ['0090016200_14062023030741', '0090016200_14062023030117', '0090016200_14062023030741']
Stack 22 with items: ['0090016200_14062023027046', '0090016200_14062023026778', '0090016200_14062023026778']
Stack 23 with items: ['0090016200_14062023026778', '0090016200_14062023026778', '0090016200_14062023026778']
Stack 24 with items: ['0090016200_14062023026778', '0090016200_14062023026778', '0090016200_14062023026778']
Stack 25 with items: ['0090016200_14062023026778', '0090016200_14062023026678', '0090016200_14062023026778']
Stack 26 with items: ['0090016200_14062023026678', '0090016200_14062023024383', '0090016200_14062023026678']
Stack 27 with items: ['0090016200_14062023024383', '0090016200_14062023024383', '0090016200_14062023024383']
Stack 28 with items: ['0090016200_14062023024383', '0090016200_14062023024383', '0090016200_14062023024383']
Stack 29 with items: ['0090016200_14062023024383', '0090016200_14062023020224', '0090016200_14062023020186']
Stack 30 with items: ['0090016200_14062023019997', '0090016200_14062023017324', '0090016200_14062023016444']
Stack 31 with items: ['0090016200_14062023016444', '0090016200_14062023016356', '0090016200_14062023016444']
Stack 32 with items: ['0090016200_14062023016356', '0090016200_14062023015317', '0090016200_14062023016356']
Stack 33 with items: ['0090016200_14062023015053', '0090016200_14062023012980', '0090016200_14062023012518']
Stack 34 with items: ['0090016200_14062023012042', '0090016200_14062023011939', '0090016200_14062023010070']
Stack 35 with items: ['0090016200_14062023010070', '0090016200_14062023010070', '0090016200_14062023010070']
Stack 36 with items: ['0090016200_14062023010070', '0090016200_14062023010070', '0090016200_14062023010070']
Stack 37 with items: ['0090016200_14062023010070', '0090016200_14062023009937', '0090016200_14062023009186']
Stack 38 with items: ['0090016200_14062023009186', '0090016200_14062023008922', '0090016200_14062023008922']
Stack 39 with items: ['0090016200_14062023006486', '0090016200_14062023006486', '0090016200_14062023006486']
Stack 40 with items: ['0090016200_14062023003311', '0090016200_14062023001497', '0090016200_14062023003311']
Stack 41 with items: ['0090016200_14062023000470', '0090016200_14062023000442', '0090016200_14062023000442']
Stack 42 with items: ['0090016200_14062023000286', '0090016200_14062023000286', '0090016200_14062023000286']
Stack 43 with items: ['0090016200_14062023000286', '0090016200_14062023022880', '0090016200_14062023023033']
Stack 44 with items: ['0090016200_14062023009724', '0090016200_14062023003636']
Stack 45 with items: ['0090016200_14062023031890', '0090016200_14062023031890', '0090016200_14062023031890']
Stack 46 with items: ['0090016200_14062023031890', '0090016200_14062023031047', '0090016200_14062023031890']
Stack 47 with items: ['0090016200_14062023030728', '0090016200_14062023021776', '0090016200_14062023020892']
Stack 48 with items: ['0090016200_14062023020892', '0090016200_14062023016645', '0090016200_14062023020892']
Stack 49 with items: ['0090016200_14062023016645', '0090016200_14062023015970', '0090016200_14062023015970']
Stack 50 with items: ['0090016200_14062023013640', '0090016200_14062023013252', '0090016200_14062023013640']
Stack 51 with items: ['0090016200_14062023012829', '0090016200_14062023011765', '0090016200_14062023012829']
Stack 52 with items: ['0090016200_14062023010969', '0090016200_14062023010484', '0090016200_14062023009167']
Stack 53 with items: ['0090016200_14062023009167', '0090016200_14062023006291', '0090016200_14062023006291']
Stacks not packed:
Stack 12 missing: ['0090016200_14062023034816', '0090016200_14062023034803', '0090016200_14062023032892']
Stack 13 missing: ['0090016200_14062023030741', '0090016200_14062023030741', '0090016200_14062023030741']
Stack 14 missing: ['0090016200_14062023030741', '0090016200_14062023030741', '0090016200_14062023030741']
Stack 15 missing: ['0090016200_14062023030741', '0090016200_14062023030741', '0090016200_14062023030741']
Stack 16 missing: ['0090016200_14062023030741', '0090016200_14062023030741', '0090016200_14062023030741']
Stack 17 missing: ['0090016200_14062023030741', '0090016200_14062023030741', '0090016200_14062023030741']
Stack 18 missing: ['0090016200_14062023030741', '0090016200_14062023030741', '0090016200_14062023030741']
Stack 19 missing: ['0090016200_14062023030741', '0090016200_14062023030741', '0090016200_14062023030741']
Stack 20 missing: ['0090016200_14062023030741', '0090016200_14062023030741', '0090016200_14062023030741']
Stack 21 missing: ['0090016200_14062023030741', '0090016200_14062023030117', '0090016200_14062023030741']
Stack 22 missing: ['0090016200_14062023027046', '0090016200_14062023026778', '0090016200_14062023026778']
Stack 23 missing: ['0090016200_14062023026778', '0090016200_14062023026778', '0090016200_14062023026778']
Stack 24 missing: ['0090016200_14062023026778', '0090016200_14062023026778', '0090016200_14062023026778']
Stack 25 missing: ['0090016200_14062023026778', '0090016200_14062023026678', '0090016200_14062023026778']
Stack 26 missing: ['0090016200_14062023026678', '0090016200_14062023024383', '0090016200_14062023026678']
Stack 27 missing: ['0090016200_14062023024383', '0090016200_14062023024383', '0090016200_14062023024383']
Stack 28 missing: ['0090016200_14062023024383', '0090016200_14062023024383', '0090016200_14062023024383']
Stack 29 missing: ['0090016200_14062023024383', '0090016200_14062023020224', '0090016200_14062023020186']
Stack 30 missing: ['0090016200_14062023019997', '0090016200_14062023017324', '0090016200_14062023016444']
Stack 31 missing: ['0090016200_14062023016444', '0090016200_14062023016356', '0090016200_14062023016444']
Stack 33 missing: ['0090016200_14062023015053', '0090016200_14062023012980', '0090016200_14062023012518']
Stack 34 missing: ['0090016200_14062023012042', '0090016200_14062023011939', '0090016200_14062023010070']
Stack 35 missing: ['0090016200_14062023010070', '0090016200_14062023010070', '0090016200_14062023010070']
Stack 36 missing: ['0090016200_14062023010070', '0090016200_14062023010070', '0090016200_14062023010070']
Stack 37 missing: ['0090016200_14062023010070', '0090016200_14062023009937', '0090016200_14062023009186']
Stack 38 missing: ['0090016200_14062023009186', '0090016200_14062023008922', '0090016200_14062023008922']
Stack 39 missing: ['0090016200_14062023006486', '0090016200_14062023006486', '0090016200_14062023006486']
Stack 40 missing: ['0090016200_14062023003311', '0090016200_14062023001497', '0090016200_14062023003311']
Stack 42 missing: ['0090016200_14062023000286', '0090016200_14062023000286', '0090016200_14062023000286']
Stack 45 missing: ['0090016200_14062023031890', '0090016200_14062023031890', '0090016200_14062023031890']
Stack 46 missing: ['0090016200_14062023031890', '0090016200_14062023031047', '0090016200_14062023031890']
Stack 47 missing: ['0090016200_14062023030728', '0090016200_14062023021776', '0090016200_14062023020892']
Stack 48 missing: ['0090016200_14062023020892', '0090016200_14062023016645', '0090016200_14062023020892']
Stack 49 missing: ['0090016200_14062023016645', '0090016200_14062023015970', '0090016200_14062023015970']
Stack 50 missing: ['0090016200_14062023013640', '0090016200_14062023013252', '0090016200_14062023013640']
Stack 51 missing: ['0090016200_14062023012829', '0090016200_14062023011765', '0090016200_14062023012829']
Stack 52 missing: ['0090016200_14062023010969', '0090016200_14062023010484', '0090016200_14062023009167']
Stack 53 missing: ['0090016200_14062023009167', '0090016200_14062023006291', '0090016200_14062023006291']
