dataset: A
instance: MA2
+-----------+
2D Packing Heuristic in Truck P194221501
Min2DVol: 30.279407999999986 [m2]
Stack 0 with items: ['0090016200_03072022000401', '0090016200_03072022015916', '0090016200_03072022015916']
Stack 1 with items: ['0090016200_03072022000401', '0090016200_03072022000401', '0090016200_03072022000401']
Stack 2 with items: ['0090016200_03072022015916', '0090016200_03072022000401', '0090016200_03072022000401']
Stack 3 with items: ['0090016200_03072022002093', '0090016200_03072022015916', '0090016200_03072022015916']
Stack 4 with items: ['0090016200_03072022015916', '0090016200_03072022015916']
Stack 5 with items: ['0090016200_03072022006627', '0090016200_03072022000403']
Stack 6 with items: ['0090016200_03072022013639', '0090016200_03072022013639']
Stack 7 with items: ['0090016200_03072022013639', '0090016200_03072022013639']
Stack 8 with items: ['0090016200_03072022013639', '0090016200_03072022013639']
Stack 9 with items: ['0090016200_03072022013639', '0090016200_03072022013639']
Stack 10 with items: ['0090016200_03072022013639', '0090016200_03072022013639']
Stack 11 with items: ['0090016200_03072022013639', '0090016200_03072022013639']
Stack 12 with items: ['0090016200_03072022013639', '0090016200_03072022013639']
Stack 13 with items: ['0090016200_03072022012464', '0090016200_03072022012464']
Stack 14 with items: ['0090016200_03072022012464', '0090016200_03072022012464']
Stack 15 with items: ['0090016200_03072022012464', '0090016200_03072022012464']
Stack 16 with items: ['0090016200_03072022012464', '0090016200_03072022012464']
Stack 17 with items: ['0090016200_03072022012464', '0090016200_03072022012464']
Stack 18 with items: ['0090016200_03072022012464', '0090016200_03072022012464']
Stack 19 with items: ['0090016200_03072022012464', '0090016200_03072022012464']
Stack 20 with items: ['0090016200_03072022002333', '0090016200_03072022002333']
Stack 21 with items: ['0090016200_03072022002333', '0090016200_03072022002333']
Heuristic packed all stacks
