dataset: X
instance: TA2
+-----------+
2D Packing Heuristic in Truck P236382401
Min2DVol: 36.03612000000003 [m2]
Stack 0 with items: ['0090038300_08062023011717', '0090038300_08062023000404']
Stack 1 with items: ['0090038300_08062023004023', '0090038300_08062023000852']
Stack 2 with items: ['0090038300_08062023008730', '0090038300_08062023005498']
Stack 3 with items: ['0090038300_08062023009597', '0090038300_08062023009238']
Stack 4 with items: ['0090038300_08062023013101', '0090038300_08062023013101', '0090038300_08062023013101']
Stack 5 with items: ['0090038300_08062023013101', '0090038300_08062023012556', '0090038300_08062023013101']
Stack 6 with items: ['0090038300_08062023012556', '0090038300_08062023012131', '0090038300_08062023012556']
Stack 7 with items: ['0090038300_08062023012039', '0090038300_08062023011906', '0090038300_08062023011862']
Stack 8 with items: ['0090038300_08062023011862', '0090038300_08062023011862', '0090038300_08062023011862']
Stack 9 with items: ['0090038300_08062023011862', '0090038300_08062023011862', '0090038300_08062023011862']
Stack 10 with items: ['0090038300_08062023011862', '0090038300_08062023011862', '0090038300_08062023011862']
Stack 11 with items: ['0090038300_08062023011862', '0090038300_08062023011862', '0090038300_08062023011862']
Stack 12 with items: ['0090038300_08062023011862', '0090038300_08062023011587', '0090038300_08062023011862']
Stack 13 with items: ['0090038300_08062023011587', '0090038300_08062023011587', '0090038300_08062023011587']
Stack 14 with items: ['0090038300_08062023011587', '0090038300_08062023011587', '0090038300_08062023011587']
Stack 15 with items: ['0090038300_08062023011587', '0090038300_08062023011587', '0090038300_08062023011587']
Stack 16 with items: ['0090038300_08062023011587', '0090038300_08062023011587', '0090038300_08062023011587']
Stack 17 with items: ['0090038300_08062023011587', '0090038300_08062023011295', '0090038300_08062023011587']
Stack 18 with items: ['0090038300_08062023011295', '0090038300_08062023011079', '0090038300_08062023011295']
Stack 19 with items: ['0090038300_08062023011079', '0090038300_08062023011079', '0090038300_08062023011079']
Stack 20 with items: ['0090038300_08062023011079', '0090038300_08062023011079', '0090038300_08062023011079']
Stack 21 with items: ['0090038300_08062023011079', '0090038300_08062023011079', '0090038300_08062023011079']
Stack 22 with items: ['0090038300_08062023011079', '0090038300_08062023011079', '0090038300_08062023011079']
Stack 23 with items: ['0090038300_08062023011079', '0090038300_08062023010657', '0090038300_08062023010657']
Stack 24 with items: ['0090038300_08062023010526', '0090038300_08062023010526', '0090038300_08062023010526']
Stack 25 with items: ['0090038300_08062023010526', '0090038300_08062023010526', '0090038300_08062023010526']
Stack 26 with items: ['0090038300_08062023010526', '0090038300_08062023010526', '0090038300_08062023010526']
Stack 27 with items: ['0090038300_08062023010526', '0090038300_08062023010526', '0090038300_08062023010526']
