dataset: C
instance: MA2
+-----------+
2D Packing Heuristic in Truck P083033101
Min2DVol: 23.52 [m2]
Stack 0 with items: ['0090016200_28022023004576', '0090016200_28022023004576', '0090016200_28022023004576', '0090016200_28022023004576']
Stack 1 with items: ['0090016200_28022023004576', '0090016200_28022023004576', '0090016200_28022023004576', '0090016200_28022023004576']
Stack 2 with items: ['0090016200_28022023028416', '0090016200_28022023013844', '0090016200_28022023028416']
Stack 3 with items: ['0090016200_28022023013844', '0090016200_28022023013844', '0090016200_28022023013844']
Stack 4 with items: ['0090016200_28022023013844', '0090016200_28022023013844', '0090016200_28022023013844']
Stack 5 with items: ['0090016200_28022023013844', '0090016200_28022023011538', '0090016200_28022023011538']
Stack 6 with items: ['0090016200_28022023011538', '0090016200_28022023011538', '0090016200_28022023011538']
Stack 7 with items: ['0090016200_28022023011538', '0090016200_28022023011538', '0090016200_28022023011538']
Stack 8 with items: ['0090016200_28022023011538', '0090016200_28022023011538', '0090016200_28022023011538']
Stack 9 with items: ['0090016200_28022023011538', '0090016200_28022023011538', '0090016200_28022023011538']
Stack 10 with items: ['0090016200_28022023011538', '0090016200_28022023011538', '0090016200_28022023011538']
Stack 11 with items: ['0090016200_28022023011538', '0090016200_28022023011538', '0090016200_28022023011538']
Stack 12 with items: ['0090016200_28022023011538', '0090016200_28022023011538', '0090016200_28022023011538']
Heuristic packed all stacks
