dataset: X
instance: RM
+-----------+
2D Packing Heuristic in Truck P196391307
Min2DVol: 31.548359999999988 [m2]
Stack 0 with items: ['0090038200_08062023029963', '0090038200_08062023018150', '0090038200_08062023028683', '0090038200_08062023028931', '0090038200_08062023010474']
Stack 1 with items: ['0090038200_08062023025259', '0090038200_08062023008611', '0090038200_08062023024078', '0090038200_08062023000379']
Stack 2 with items: ['0090038200_08062023016837', '0090038200_08062023016782']
Stack 3 with items: ['0090038200_08062023015447', '0090038200_08062023014335']
Stack 4 with items: ['0090038200_08062023014006', '0090038200_08062023010923']
Stack 5 with items: ['0090038200_08062023004245', '0090038200_08062023003003']
Stack 6 with items: ['0090038200_08062023028375', '0090038200_08062023027928', '0090038200_08062023028375']
Stack 7 with items: ['0090038200_08062023027928', '0090038200_08062023024229', '0090038200_08062023024229']
Stack 8 with items: ['0090038200_08062023023539', '0090038200_08062023023224', '0090038200_08062023023224']
Stack 9 with items: ['0090038200_08062023021383', '0090038200_08062023021336', '0090038200_08062023020857']
Stack 10 with items: ['0090038200_08062023020857', '0090038200_08062023019267', '0090038200_08062023020857']
Stack 11 with items: ['0090038200_08062023019267', '0090038200_08062023019155', '0090038200_08062023017456']
Stack 12 with items: ['0090038200_08062023017456', '0090038200_08062023017164', '0090038200_08062023016735']
Stack 13 with items: ['0090038200_08062023016087', '0090038200_08062023015167', '0090038200_08062023016087']
Stack 14 with items: ['0090038200_08062023014890', '0090038200_08062023014487', '0090038200_08062023014890']
Stack 15 with items: ['0090038200_08062023014135', '0090038200_08062023014135', '0090038200_08062023014135']
Stack 16 with items: ['0090038200_08062023014135', '0090038200_08062023013729', '0090038200_08062023013729']
Stack 17 with items: ['0090038200_08062023011654', '0090038200_08062023010322', '0090038200_08062023010136']
Stack 18 with items: ['0090038200_08062023008997', '0090038200_08062023008557', '0090038200_08062023008997']
Stack 19 with items: ['0090038200_08062023005287', '0090038200_08062023005287', '0090038200_08062023005287']
Stack 20 with items: ['0090038200_08062023005287', '0090038200_08062023005287', '0090038200_08062023005287']
Stack 21 with items: ['0090038200_08062023004708', '0090038200_08062023001143', '0090038200_08062023001141']
Stack 22 with items: ['0090038200_08062023001141', '0090038200_08062023001141', '0090038200_08062023001141']
Stack 23 with items: ['0090038200_08062023029319', '0090038200_08062023026028', '0090038200_08062023018044']
Stack 24 with items: ['0090038200_08062023011909', '0090038200_08062023001506', '0090038200_08062023011909']
Heuristic packed all stacks
