dataset: B
instance: TR
+-----------+
2D Packing Heuristic in Truck P318422001
Min2DVol: 31.19999999999999 [m2]
Stack 0 with items: ['0090017000_26102022003273', '0090017000_26102022006045', '0090017000_26102022006272']
Stack 1 with items: ['0090017000_26102022005234', '0090017000_26102022005234', '0090017000_26102022005234']
Stack 2 with items: ['0090017000_26102022005234', '0090017000_26102022005234', '0090017000_26102022005234']
Stack 3 with items: ['0090017000_26102022004352', '0090017000_26102022004352', '0090017000_26102022004352']
Stack 4 with items: ['0090017000_26102022004352', '0090017000_26102022004352', '0090017000_26102022004352']
Stack 5 with items: ['0090017000_26102022005234']
Stack 6 with items: ['0090017000_26102022008167', '0090017000_26102022008167', '0090017000_26102022008167']
Stack 7 with items: ['0090017000_26102022008167', '0090017000_26102022008167', '0090017000_26102022008167']
Stack 8 with items: ['0090017000_26102022008167', '0090017000_26102022008167', '0090017000_26102022008167']
Stack 9 with items: ['0090017000_26102022008167', '0090017000_26102022008167', '0090017000_26102022008167']
Stack 10 with items: ['0090017000_26102022008167', '0090017000_26102022008167', '0090017000_26102022008167']
Stack 11 with items: ['0090017000_26102022008167', '0090017000_26102022008167', '0090017000_26102022008167']
Stack 12 with items: ['0090017000_26102022008167', '0090017000_26102022008167', '0090017000_26102022008167']
Stack 13 with items: ['0090017000_26102022008167', '0090017000_26102022006575', '0090017000_26102022008167']
Stack 14 with items: ['0090017000_26102022006575', '0090017000_26102022006575', '0090017000_26102022006575']
Stack 15 with items: ['0090017000_26102022006575', '0090017000_26102022006575', '0090017000_26102022006575']
Stack 16 with items: ['0090017000_26102022006575', '0090017000_26102022006575', '0090017000_26102022006575']
Stack 17 with items: ['0090017000_26102022006575', '0090017000_26102022006575', '0090017000_26102022006575']
Stack 18 with items: ['0090017000_26102022006575', '0090017000_26102022006575', '0090017000_26102022006575']
Stack 19 with items: ['0090017000_26102022006575', '0090017000_26102022006575', '0090017000_26102022006575']
Stack 20 with items: ['0090017000_26102022006575', '0090017000_26102022006575', '0090017000_26102022006575']
Stack 21 with items: ['0090017000_26102022006575', '0090017000_26102022006575', '0090017000_26102022006575']
Stack 22 with items: ['0090017000_26102022006575', '0090017000_26102022006575', '0090017000_26102022006575']
Stack 23 with items: ['0090017000_26102022006575', '0090017000_26102022006575', '0090017000_26102022006575']
Stack 24 with items: ['0090017000_26102022006575', '0090017000_26102022006575', '0090017000_26102022006575']
Stack 25 with items: ['0090017000_26102022006575', '0090017000_26102022006575', '0090017000_26102022006575']
Heuristic packed all stacks
