dataset: C
instance: VA
+-----------+
2D Packing Heuristic in Truck P103654403
Min2DVol: 31.920000000000005 [m2]
Stack 0 with items: ['0091017300_27022023044452', '0091017300_27022023044452', '0091017300_27022023044452', '0091017300_27022023044452']
Stack 1 with items: ['0091017300_27022023044452', '0091017300_27022023044452', '0091017300_27022023044452', '0091017300_27022023044452']
Stack 2 with items: ['0091017300_27022023044452', '0091017300_27022023044452', '0091017300_27022023044452', '0091017300_27022023044452']
Stack 3 with items: ['0091017300_27022023044452', '0091017300_27022023044452', '0091017300_27022023044452', '0091017300_27022023044452']
Stack 4 with items: ['0091017300_27022023044452', '0091017300_27022023017010', '0091017300_27022023017010', '0091017300_27022023044452']
Stack 5 with items: ['0091017300_27022023017010', '0091017300_27022023017010', '0091017300_27022023017010', '0091017300_27022023017010']
Stack 6 with items: ['0091017300_27022023017010', '0091017300_27022023017010', '0091017300_27022023017010', '0091017300_27022023017010']
Stack 7 with items: ['0091017300_27022023017010', '0091017300_27022023017010', '0091017300_27022023017010', '0091017300_27022023017010']
Stack 8 with items: ['0091017300_27022023017010', '0091017300_27022023017010', '0091017300_27022023017010', '0091017300_27022023017010']
Stack 9 with items: ['0091017300_27022023015185', '0091017300_27022023007712', '0091017300_27022023007712', '0091017300_27022023015185']
Stack 10 with items: ['0091017300_27022023007712', '0091017300_27022023007712', '0091017300_27022023007712', '0091017300_27022023007712']
Stack 11 with items: ['0091017300_27022023007712', '0091017300_27022023007712', '0091017300_27022023007712', '0091017300_27022023007712']
Stack 12 with items: ['0091017300_27022023007712', '0091017300_27022023007712', '0091017300_27022023007712', '0091017300_27022023007712']
Stack 13 with items: ['0091017300_27022023007712', '0091017300_27022023007712', '0091017300_27022023007712', '0091017300_27022023007712']
Heuristic packed all stacks
