dataset: X
instance: TR5
+-----------+
2D Packing Heuristic in Truck P174420409
Min2DVol: 31.734179999999995 [m2]
Stack 0 with items: ['0090017000_14062023004169', '0090017000_14062023007691']
Stack 1 with items: ['0090017000_14062023004169', '0090017000_14062023007691']
Stack 2 with items: ['0090017000_14062023015841', '0090017000_14062023015841']
Stack 3 with items: ['0090017000_14062023042110', '0090017000_14062023034581', '0090017000_14062023034581']
Stack 4 with items: ['0090017000_14062023040567', '0090017000_14062023040567', '0090017000_14062023040567']
Stack 5 with items: ['0090017000_14062023040567', '0090017000_14062023040567', '0090017000_14062023040567']
Stack 6 with items: ['0090017000_14062023040567', '0090017000_14062023040567', '0090017000_14062023040567']
Stack 7 with items: ['0090017000_14062023040567', '0090017000_14062023040567', '0090017000_14062023040567']
Stack 8 with items: ['0090017000_14062023040567', '0090017000_14062023040567', '0090017000_14062023040567']
Stack 9 with items: ['0090017000_14062023034581', '0090017000_14062023034581', '0090017000_14062023034581']
Stack 10 with items: ['0090017000_14062023034581', '0090017000_14062023025696', '0090017000_14062023020880']
Stack 11 with items: ['0090017000_14062023028695', '0090017000_14062023028695', '0090017000_14062023028695']
Stack 12 with items: ['0090017000_14062023020880', '0090017000_14062023004846', '0090017000_14062023004846']
Stack 13 with items: ['0090017000_14062023013627', '0090017000_14062023013627', '0090017000_14062023013627']
Stack 14 with items: ['0090017000_14062023013627', '0090017000_14062023013627', '0090017000_14062023013627']
Stack 15 with items: ['0090017000_14062023004846', '0090017000_14062023004846', '0090017000_14062023004846']
Stack 16 with items: ['0090017000_14062023004846', '0090017000_14062023004846', '0090017000_14062023004846']
Stack 17 with items: ['0090017000_14062023004846', '0090017000_14062023004846', '0090017000_14062023004846']
Stack 18 with items: ['0090017000_14062023004846', '0090017000_14062023004846', '0090017000_14062023004846']
Stack 19 with items: ['0090017000_14062023004846', '0090017000_14062023004846', '0090017000_14062023004846']
Stack 20 with items: ['0090017000_14062023011858', '0090017000_14062023011858', '0090017000_14062023011858']
Stack 21 with items: ['0090017000_14062023011858', '0090017000_14062023011858', '0090017000_14062023011858']
Stack 22 with items: ['0090017000_14062023011858', '0090017000_14062023011858', '0090017000_14062023011858']
Stack 23 with items: ['0090017000_14062023036318', '0090017000_14062023036318', '0090017000_14062023036318']
Heuristic packed all stacks
