dataset: C
instance: TR
+-----------+
2D Packing Heuristic in Truck P100420411
Min2DVol: 31.19199999999999 [m2]
Stack 0 with items: ['0090017000_27022023002052']
Stack 1 with items: ['0090017000_27022023008041', '0090017000_27022023002052']
Stack 2 with items: ['0090017000_27022023008041', '0090017000_27022023008041']
Stack 3 with items: ['0090017000_27022023003325', '0090017000_27022023003325', '0090017000_27022023022680']
Stack 4 with items: ['0090017000_27022023011254', '0090017000_27022023010207', '0090017000_27022023010207']
Stack 5 with items: ['0090017000_27022023003325', '0090017000_27022023003325', '0090017000_27022023003325']
Stack 6 with items: ['0090017000_27022023010207', '0090017000_27022023010207', '0090017000_27022023010207']
Stack 7 with items: ['0090017000_27022023035073', '0090017000_27022023027839', '0090017000_27022023035073']
Stack 8 with items: ['0090017000_27022023033068', '0090017000_27022023033068', '0090017000_27022023033068']
Stack 9 with items: ['0090017000_27022023033068', '0090017000_27022023033068', '0090017000_27022023033068']
Stack 10 with items: ['0090017000_27022023028881', '0090017000_27022023027246', '0090017000_27022023028881']
Stack 11 with items: ['0090017000_27022023027131', '0090017000_27022023013851', '0090017000_27022023013532']
Stack 12 with items: ['0090017000_27022023025765', '0090017000_27022023024608', '0090017000_27022023025765']
Stack 13 with items: ['0090017000_27022023020682', '0090017000_27022023020655', '0090017000_27022023020682']
Stack 14 with items: ['0090017000_27022023020655', '0090017000_27022023013644', '0090017000_27022023013246']
Stack 15 with items: ['0090017000_27022023011419', '0090017000_27022023009377', '0090017000_27022023011419']
Stack 16 with items: ['0090017000_27022023009377', '0090017000_27022023008816', '0090017000_27022023009377']
Stack 17 with items: ['0090017000_27022023008816', '0090017000_27022023008816', '0090017000_27022023008816']
Stack 18 with items: ['0090017000_27022023008816', '0090017000_27022023008816', '0090017000_27022023008816']
Stack 19 with items: ['0090017000_27022023008816', '0090017000_27022023006989', '0090017000_27022023008816']
Stack 20 with items: ['0090017000_27022023014347', '0090017000_27022023025429', '0090017000_27022023025429']
Stack 21 with items: ['0090017000_27022023017647', '0090017000_27022023017647', '0090017000_27022023017647']
Stack 22 with items: ['0090017000_27022023017647', '0090017000_27022023017647', '0090017000_27022023017647']
Stack 23 with items: ['0090017000_27022023017647', '0090017000_27022023018330', '0090017000_27022023018330']
Heuristic packed all stacks
