dataset: B
instance: VA
+-----------+
2D Packing Heuristic in Truck P335512501
Min2DVol: 36.54180000000001 [m2]
Stack 0 with items: ['0091017300_26102022012748', '0091017300_26102022012748']
Stack 1 with items: ['0091017300_26102022012748', '0091017300_26102022001181']
Stack 2 with items: ['0091017300_26102022001181', '0091017300_26102022001181']
Stack 3 with items: ['0091017300_26102022013544', '0091017300_26102022012818', '0091017300_26102022013538', '0091017300_26102022010537']
Stack 4 with items: ['0091017300_26102022010681', '0091017300_26102022010373', '0091017300_26102022003323']
Stack 5 with items: ['0091017300_26102022010373', '0091017300_26102022010373']
Stack 6 with items: ['0091017300_26102022010373', '0091017300_26102022010373']
Stack 7 with items: ['0091017300_26102022010373', '0091017300_26102022010373']
Stack 8 with items: ['0091017300_26102022010373', '0091017300_26102022010373']
Stack 9 with items: ['0091017300_26102022010340', '0091017300_26102022010340']
Stack 10 with items: ['0091017300_26102022010340', '0091017300_26102022010200']
Stack 11 with items: ['0091017300_26102022010200', '0091017300_26102022010200']
Stack 12 with items: ['0091017300_26102022008753', '0091017300_26102022008753']
Stack 13 with items: ['0091017300_26102022008753', '0091017300_26102022008753']
Stack 14 with items: ['0091017300_26102022005391', '0091017300_26102022005391']
Stack 15 with items: ['0091017300_26102022005391', '0091017300_26102022005391']
Stack 16 with items: ['0091017300_26102022004175', '0091017300_26102022004175']
Stack 17 with items: ['0091017300_26102022004175', '0091017300_26102022004175']
Stack 18 with items: ['0091017300_26102022004175', '0091017300_26102022004175']
Stack 19 with items: ['0091017300_26102022004175', '0091017300_26102022004175']
Stack 20 with items: ['0091017300_26102022004175', '0091017300_26102022004175']
Stack 21 with items: ['0091017300_26102022003925', '0091017300_26102022003925']
Stack 22 with items: ['0091017300_26102022003925', '0091017300_26102022003925']
Stack 23 with items: ['0091017300_26102022003925', '0091017300_26102022003925']
Stack 24 with items: ['0091017300_26102022003925', '0091017300_26102022003925']
Stack 25 with items: ['0091017300_26102022003925', '0091017300_26102022003925']
Stack 26 with items: ['0091017300_26102022001463', '0091017300_26102022001463']
Stack 27 with items: ['0091017300_26102022001463', '0091017300_26102022001463']
Stack 28 with items: ['0091017300_26102022001463', '0091017300_26102022001463']
Stack 29 with items: ['0091017300_26102022001463', '0091017300_26102022001463']
Stacks not packed:
Stack 0 missing: ['0091017300_26102022012748', '0091017300_26102022012748']
Stack 1 missing: ['0091017300_26102022012748', '0091017300_26102022001181']
Stack 2 missing: ['0091017300_26102022001181', '0091017300_26102022001181']
Stack 29 missing: ['0091017300_26102022001463', '0091017300_26102022001463']
