dataset: X
instance: SA
+-----------+
2D Packing Heuristic in Truck P192056403
Min2DVol: 33.72582299999999 [m2]
Stack 0 with items: ['0090017100_08062023014306', '0090017100_08062023014306']
Stack 1 with items: ['0090017100_08062023014306', '0090017100_08062023026578']
Stack 2 with items: ['0090017100_08062023002524', '0090017100_08062023003339']
Stack 3 with items: ['0090017100_08062023011537', '0090017100_08062023027284']
Stack 4 with items: ['0090017100_08062023017959', '0090017100_08062023015568']
Stack 5 with items: ['0090017100_08062023002524']
Stack 6 with items: ['0090017100_08062023011318', '0090017100_08062023011318', '0090017100_08062023011318']
Stack 7 with items: ['0090017100_08062023011318', '0090017100_08062023011318', '0090017100_08062023011318']
Stack 8 with items: ['0090017100_08062023011318', '0090017100_08062023008098', '0090017100_08062023011318']
Stack 9 with items: ['0090017100_08062023005072', '0090017100_08062023005072', '0090017100_08062023005072']
Stack 10 with items: ['0090017100_08062023005072', '0090017100_08062023005072', '0090017100_08062023005072']
Stack 11 with items: ['0090017100_08062023005072', '0090017100_08062023005072', '0090017100_08062023005072']
Stack 12 with items: ['0090017100_08062023005072', '0090017100_08062023005072', '0090017100_08062023005072']
Stack 13 with items: ['0090017100_08062023005072', '0090017100_08062023005072', '0090017100_08062023005072']
Stack 14 with items: ['0090017100_08062023005072', '0090017100_08062023005072', '0090017100_08062023005072']
Stack 15 with items: ['0090017100_08062023005072', '0090017100_08062023005072', '0090017100_08062023005072']
Stack 16 with items: ['0090017100_08062023005072', '0090017100_08062023005072', '0090017100_08062023005072']
Stack 17 with items: ['0090017100_08062023005072', '0090017100_08062023004956', '0090017100_08062023005072']
Stack 18 with items: ['0090017100_08062023004956', '0090017100_08062023004956', '0090017100_08062023004956']
Stack 19 with items: ['0090017100_08062023004956', '0090017100_08062023004956', '0090017100_08062023004956']
Stack 20 with items: ['0090017100_08062023004956', '0090017100_08062023004956', '0090017100_08062023004956']
Stack 21 with items: ['0090017100_08062023004956', '0090017100_08062023004956', '0090017100_08062023004956']
Stack 22 with items: ['0090017100_08062023004956', '0090017100_08062023004956', '0090017100_08062023004956']
Stack 23 with items: ['0090017100_08062023004956', '0090017100_08062023004956', '0090017100_08062023004956']
Stack 24 with items: ['0090017100_08062023004956', '0090017100_08062023004956', '0090017100_08062023004956']
Stack 25 with items: ['0090017100_08062023004956', '0090017100_08062023004956', '0090017100_08062023004956']
Stack 26 with items: ['0090017100_08062023004956', '0090017100_08062023004956', '0090017100_08062023004956']
Stack 27 with items: ['0090017100_08062023024029', '0090017100_08062023024029', '0090017100_08062023024029']
Stacks not packed:
Stack 25 missing: ['0090017100_08062023004956', '0090017100_08062023004956', '0090017100_08062023004956']
Stack 26 missing: ['0090017100_08062023004956', '0090017100_08062023004956', '0090017100_08062023004956']
