dataset: C
instance: PA
+-----------+
2D Packing Heuristic in Truck P066540801
Min2DVol: 30.18525000000001 [m2]
Stack 0 with items: ['0091017200_27022023059204', '0091017200_27022023059204']
Stack 1 with items: ['0091017200_27022023059204', '0091017200_27022023059204']
Stack 2 with items: ['0091017200_27022023059204', '0091017200_27022023051633']
Stack 3 with items: ['0091017200_27022023051633', '0091017200_27022023051633']
Stack 4 with items: ['0091017200_27022023051633', '0091017200_27022023051633']
Stack 5 with items: ['0091017200_27022023051633', '0091017200_27022023044650']
Stack 6 with items: ['0091017200_27022023039125', '0091017200_27022023039125']
Stack 7 with items: ['0091017200_27022023039125', '0091017200_27022023039125']
Stack 8 with items: ['0091017200_27022023039125', '0091017200_27022023039125']
Stack 9 with items: ['0091017200_27022023039125', '0091017200_27022023039125']
Stack 10 with items: ['0091017200_27022023038574', '0091017200_27022023038574']
Stack 11 with items: ['0091017200_27022023038574', '0091017200_27022023038574']
Stack 12 with items: ['0091017200_27022023038574', '0091017200_27022023038574']
Stack 13 with items: ['0091017200_27022023028068', '0091017200_27022023028068']
Stack 14 with items: ['0091017200_27022023017437', '0091017200_27022023017437']
Heuristic packed all stacks
