dataset: X
instance: AS7
+-----------+
2D Packing Heuristic in Truck P220730401
Min2DVol: 30.239999999999995 [m2]
Stack 0 with items: ['0090018000_14062023010693', '0090018000_14062023003388', '0090018000_14062023006115', '0090018000_14062023003202']
Stack 1 with items: ['0090018000_14062023000542', '0090018000_14062023009803']
Stack 2 with items: ['0090018000_14062023010995', '0090018000_14062023010995', '0090018000_14062023010995']
Stack 3 with items: ['0090018000_14062023010995', '0090018000_14062023002650', '0090018000_14062023010995']
Stack 4 with items: ['0090018000_14062023010995', '0090018000_14062023010995', '0090018000_14062023011562']
Stack 5 with items: ['0090018000_14062023011562', '0090018000_14062023010995', '0090018000_14062023000719']
Stack 6 with items: ['0090018000_14062023010995', '0090018000_14062023010995', '0090018000_14062023010995']
Stack 7 with items: ['0090018000_14062023003681', '0090018000_14062023003681', '0090018000_14062023003681']
Stack 8 with items: ['0090018000_14062023002650', '0090018000_14062023003681', '0090018000_14062023010995']
Stack 9 with items: ['0090018000_14062023014714', '0090018000_14062023014650', '0090018000_14062023014714']
Stack 10 with items: ['0090018000_14062023014650', '0090018000_14062023014454', '0090018000_14062023014454']
Stack 11 with items: ['0090018000_14062023014454', '0090018000_14062023014454', '0090018000_14062023014454']
Stack 12 with items: ['0090018000_14062023014454', '0090018000_14062023014454', '0090018000_14062023014454']
Stack 13 with items: ['0090018000_14062023014454', '0090018000_14062023014454', '0090018000_14062023014454']
Stack 14 with items: ['0090018000_14062023012990', '0090018000_14062023012990', '0090018000_14062023012990']
Stack 15 with items: ['0090018000_14062023012990', '0090018000_14062023012990', '0090018000_14062023012990']
Stack 16 with items: ['0090018000_14062023012990', '0090018000_14062023012990', '0090018000_14062023012990']
Stack 17 with items: ['0090018000_14062023012990', '0090018000_14062023012990', '0090018000_14062023012990']
Stack 18 with items: ['0090018000_14062023012990', '0090018000_14062023012990', '0090018000_14062023012990']
Stack 19 with items: ['0090018000_14062023009012', '0090018000_14062023008603', '0090018000_14062023006872']
Stack 20 with items: ['0090018000_14062023006872', '0090018000_14062023003526', '0090018000_14062023006872']
Heuristic packed all stacks
