dataset: X
instance: MA3
+-----------+
2D Packing Heuristic in Truck P191244501
Min2DVol: 28.79999999999999 [m2]
Stack 0 with items: ['0090016200_08062023026459', '0090016200_08062023023613', '0090016200_08062023023613']
Stack 1 with items: ['0090016200_08062023023613', '0090016200_08062023010998', '0090016200_08062023010998']
Stack 2 with items: ['0090016200_08062023005718', '0090016200_08062023005685', '0090016200_08062023005685']
Stack 3 with items: ['0090016200_08062023005685', '0090016200_08062023004533', '0090016200_08062023004533']
Stack 4 with items: ['0090016200_08062023034158', '0090016200_08062023033564']
Stack 5 with items: ['0090016200_08062023030401', '0090016200_08062023027235']
Stack 6 with items: ['0090016200_08062023019192', '0090016200_08062023017941']
Stack 7 with items: ['0090016200_08062023017941', '0090016200_08062023017941']
Stack 8 with items: ['0090016200_08062023017941', '0090016200_08062023017941']
Stack 9 with items: ['0090016200_08062023017941', '0090016200_08062023017831']
Stack 10 with items: ['0090016200_08062023017831', '0090016200_08062023017831']
Stack 11 with items: ['0090016200_08062023017831', '0090016200_08062023017831']
Stack 12 with items: ['0090016200_08062023017831', '0090016200_08062023017831']
Stack 13 with items: ['0090016200_08062023014596', '0090016200_08062023014596']
Stack 14 with items: ['0090016200_08062023014596', '0090016200_08062023014596']
Stack 15 with items: ['0090016200_08062023013529', '0090016200_08062023013529']
Stack 16 with items: ['0090016200_08062023013529', '0090016200_08062023013431']
Stack 17 with items: ['0090016200_08062023010341', '0090016200_08062023010341']
Stack 18 with items: ['0090016200_08062023010341', '0090016200_08062023010341']
Stack 19 with items: ['0090016200_08062023010341', '0090016200_08062023010341']
Stack 20 with items: ['0090016200_08062023010341', '0090016200_08062023010341']
Stack 21 with items: ['0090016200_08062023010341', '0090016200_08062023010341']
Stack 22 with items: ['0090016200_08062023010341', '0090016200_08062023010115']
Stack 23 with items: ['0090016200_08062023007418', '0090016200_08062023005363']
Stacks not packed:
Stack 3 missing: ['0090016200_08062023005685', '0090016200_08062023004533', '0090016200_08062023004533']
Stack 15 missing: ['0090016200_08062023013529', '0090016200_08062023013529']
