dataset: X
instance: TR7
+-----------+
2D Packing Heuristic in Truck P186277601
Min2DVol: 31.752240000000015 [m2]
Stack 0 with items: ['0090017000_14062023036077', '0090017000_14062023034426']
Stack 1 with items: ['0090017000_14062023002568', '0090017000_14062023010238']
Stack 2 with items: ['0090017000_14062023025397', '0090017000_14062023044345']
Stack 3 with items: ['0090017000_14062023044618']
Stack 4 with items: ['0090017000_14062023035421', '0090017000_14062023019264', '0090017000_14062023012490']
Stack 5 with items: ['0090017000_14062023012490', '0090017000_14062023012490', '0090017000_14062023012490']
Stack 6 with items: ['0090017000_14062023012490', '0090017000_14062023012490', '0090017000_14062023012490']
Stack 7 with items: ['0090017000_14062023012490', '0090017000_14062023012490', '0090017000_14062023012490']
Stack 8 with items: ['0090017000_14062023012490', '0090017000_14062023012490', '0090017000_14062023012490']
Stack 9 with items: ['0090017000_14062023012490', '0090017000_14062023012490', '0090017000_14062023012490']
Stack 10 with items: ['0090017000_14062023012490', '0090017000_14062023012490', '0090017000_14062023012490']
Stack 11 with items: ['0090017000_14062023012490', '0090017000_14062023012490', '0090017000_14062023012490']
Stack 12 with items: ['0090017000_14062023012490', '0090017000_14062023012490', '0090017000_14062023012490']
Stack 13 with items: ['0090017000_14062023012490', '0090017000_14062023012490', '0090017000_14062023012490']
Stack 14 with items: ['0090017000_14062023012490', '0090017000_14062023012490', '0090017000_14062023012490']
Stack 15 with items: ['0090017000_14062023012490', '0090017000_14062023012490', '0090017000_14062023012490']
Stack 16 with items: ['0090017000_14062023012490', '0090017000_14062023004640', '0090017000_14062023004640']
Stack 17 with items: ['0090017000_14062023004640', '0090017000_14062023004640', '0090017000_14062023004640']
Heuristic packed all stacks
