dataset: C
instance: MA
+-----------+
2D Packing Heuristic in Truck P115036805
Min2DVol: 31.535975999999977 [m2]
Stack 0 with items: ['0090016200_27022023004996', '0090016200_27022023004996']
Stack 1 with items: ['0090016200_27022023008727', '0090016200_27022023031263']
Stack 2 with items: ['0090016200_27022023021851', '0090016200_27022023021851']
Stack 3 with items: ['0090016200_27022023009687', '0090016200_27022023009687']
Stack 4 with items: ['0090016200_27022023023689', '0090016200_27022023023689']
Stack 5 with items: ['0090016200_27022023021132', '0090016200_27022023008727']
Stack 6 with items: ['0090016200_27022023008286', '0090016200_27022023008286']
Stack 7 with items: ['0090016200_27022023037995', '0090016200_27022023037995', '0090016200_27022023037995']
Stack 8 with items: ['0090016200_27022023008099', '0090016200_27022023008099', '0090016200_27022023008099']
Stack 9 with items: ['0090016200_27022023039862', '0090016200_27022023010444', '0090016200_27022023039862']
Stack 10 with items: ['0090016200_27022023007531', '0090016200_27022023008099', '0090016200_27022023010444']
Stack 11 with items: ['0090016200_27022023037995', '0090016200_27022023037995', '0090016200_27022023037995']
Stack 12 with items: ['0090016200_27022023030977', '0090016200_27022023037995', '0090016200_27022023037995']
Stack 13 with items: ['0090016200_27022023010444', '0090016200_27022023010444', '0090016200_27022023010444']
Stack 14 with items: ['0090016200_27022023033929', '0090016200_27022023033929', '0090016200_27022023033929']
Stack 15 with items: ['0090016200_27022023033929', '0090016200_27022023033929', '0090016200_27022023033929']
Stack 16 with items: ['0090016200_27022023033929', '0090016200_27022023027635', '0090016200_27022023033929']
Stack 17 with items: ['0090016200_27022023027635', '0090016200_27022023027635', '0090016200_27022023027635']
Stack 18 with items: ['0090016200_27022023025078', '0090016200_27022023023676', '0090016200_27022023023676']
Stack 19 with items: ['0090016200_27022023018861', '0090016200_27022023018861', '0090016200_27022023018861']
Stack 20 with items: ['0090016200_27022023018861', '0090016200_27022023018861', '0090016200_27022023018861']
Stack 21 with items: ['0090016200_27022023018861', '0090016200_27022023018861', '0090016200_27022023018861']
Stack 22 with items: ['0090016200_27022023018861', '0090016200_27022023018861', '0090016200_27022023018861']
Stack 23 with items: ['0090016200_27022023018861', '0090016200_27022023018861', '0090016200_27022023018861']
Stack 24 with items: ['0090016200_27022023018861', '0090016200_27022023017166', '0090016200_27022023018861']
Stack 25 with items: ['0090016200_27022023017166', '0090016200_27022023009020', '0090016200_27022023017166']
Heuristic packed all stacks
