dataset: C
instance: TA
+-----------+
2D Packing Heuristic in Truck P082381403
Min2DVol: 26.540075000000016 [m2]
Stack 0 with items: ['0090038300_27022023033050', '0090038300_27022023025834', '0090038300_27022023026726', '0090038300_27022023026726', '0090038300_27022023033016', '0090038300_27022023015619']
Stack 1 with items: ['0090038300_27022023021564', '0090038300_27022023020745', '0090038300_27022023021564']
Stack 2 with items: ['0090038300_27022023020745', '0090038300_27022023008802', '0090038300_27022023008802', '0090038300_27022023008788']
Stack 3 with items: ['0090038300_27022023006124', '0090038300_27022023005099', '0090038300_27022023002088', '0090038300_27022023006124', '0090038300_27022023006124']
Stack 4 with items: ['0090038300_27022023003584', '0090038300_27022023029862', '0090038300_27022023036404', '0090038300_27022023036474', '0090038300_27022023036474']
Stack 5 with items: ['0090038300_27022023015408', '0090038300_27022023015408', '0090038300_27022023015408']
Stack 6 with items: ['0090038300_27022023032854', '0090038300_27022023018887', '0090038300_27022023032854']
Stack 7 with items: ['0090038300_27022023015408', '0090038300_27022023032854', '0090038300_27022023032854']
Stack 8 with items: ['0090038300_27022023015408', '0090038300_27022023015408', '0090038300_27022023015408']
Stack 9 with items: ['0090038300_27022023015408', '0090038300_27022023015408', '0090038300_27022023015408']
Stack 10 with items: ['0090038300_27022023015408', '0090038300_27022023015408', '0090038300_27022023015408']
Stack 11 with items: ['0090038300_27022023034511', '0090038300_27022023018887', '0090038300_27022023015408']
Stack 12 with items: ['0090038300_27022023015408', '0090038300_27022023032854', '0090038300_27022023032854']
Stack 13 with items: ['0090038300_27022023015408', '0090038300_27022023015408', '0090038300_27022023015408']
Stack 14 with items: ['0090038300_27022023015408', '0090038300_27022023015408', '0090038300_27022023018887']
Stack 15 with items: ['0090038300_27022023015408', '0090038300_27022023015408', '0090038300_27022023015408']
Stack 16 with items: ['0090038300_27022023015408', '0090038300_27022023015408', '0090038300_27022023015408']
Stack 17 with items: ['0090038300_27022023015408', '0090038300_27022023015408', '0090038300_27022023015408']
Stack 18 with items: ['0090038300_27022023015408', '0090038300_27022023015408', '0090038300_27022023015408']
Stack 19 with items: ['0090038300_27022023032854', '0090038300_27022023032854', '0090038300_27022023032854']
Stack 20 with items: ['0090038300_27022023032854', '0090038300_27022023032854', '0090038300_27022023032854']
