dataset: X
instance: TR7
+-----------+
2D Packing Heuristic in Truck P192420409
Min2DVol: 31.218059999999987 [m2]
Stack 0 with items: ['0090017000_14062023004022', '0090017000_14062023000581']
Stack 1 with items: ['0090017000_14062023043190', '0090017000_14062023042023', '0090017000_14062023042023']
Stack 2 with items: ['0090017000_14062023042023', '0090017000_14062023042023', '0090017000_14062023042023']
Stack 3 with items: ['0090017000_14062023042023', '0090017000_14062023041244', '0090017000_14062023041244']
Stack 4 with items: ['0090017000_14062023041244', '0090017000_14062023038897', '0090017000_14062023041244']
Stack 5 with items: ['0090017000_14062023040922', '0090017000_14062023040922', '0090017000_14062023040922']
Stack 6 with items: ['0090017000_14062023040922', '0090017000_14062023040922', '0090017000_14062023040922']
Stack 7 with items: ['0090017000_14062023040922', '0090017000_14062023040922', '0090017000_14062023040922']
Stack 8 with items: ['0090017000_14062023040922', '0090017000_14062023040922', '0090017000_14062023040922']
Stack 9 with items: ['0090017000_14062023038897', '0090017000_14062023038897', '0090017000_14062023038897']
Stack 10 with items: ['0090017000_14062023038897', '0090017000_14062023028973', '0090017000_14062023028973']
Stack 11 with items: ['0090017000_14062023036033', '0090017000_14062023036033', '0090017000_14062023036033']
Stack 12 with items: ['0090017000_14062023036033', '0090017000_14062023036033', '0090017000_14062023036033']
Stack 13 with items: ['0090017000_14062023028973', '0090017000_14062023026772', '0090017000_14062023028973']
Stack 14 with items: ['0090017000_14062023026772', '0090017000_14062023019849', '0090017000_14062023026772']
Stack 15 with items: ['0090017000_14062023019849', '0090017000_14062023017597', '0090017000_14062023017597']
Stack 16 with items: ['0090017000_14062023017597', '0090017000_14062023017597', '0090017000_14062023017597']
Stack 17 with items: ['0090017000_14062023017597', '0090017000_14062023013593', '0090017000_14062023017597']
Stack 18 with items: ['0090017000_14062023017070', '0090017000_14062023017070', '0090017000_14062023017070']
Stack 19 with items: ['0090017000_14062023011037', '0090017000_14062023011037', '0090017000_14062023011037']
Stack 20 with items: ['0090017000_14062023011037', '0090017000_14062023010962', '0090017000_14062023011037']
Stack 21 with items: ['0090017000_14062023010962', '0090017000_14062023010962', '0090017000_14062023010962']
Stack 22 with items: ['0090017000_14062023008996', '0090017000_14062023005469', '0090017000_14062023008996']
Stack 23 with items: ['0090017000_14062023005469', '0090017000_14062023005469', '0090017000_14062023005469']
Stack 24 with items: ['0090017000_14062023003196', '0090017000_14062023003196', '0090017000_14062023003196']
Stack 25 with items: ['0090017000_14062023001624', '0090017000_14062023001624', '0090017000_14062023001624']
Heuristic packed all stacks
