dataset: C
instance: FL2
+-----------+
2D Packing Heuristic in Truck P104170103
Min2DVol: 31.200000000000014 [m2]
Stack 0 with items: ['0090015100_28022023004823', '0090015100_28022023004823', '0090015100_28022023004823']
Stack 1 with items: ['0090015100_28022023004823', '0090015100_28022023004823', '0090015100_28022023004823']
Stack 2 with items: ['0090015100_28022023004823', '0090015100_28022023004823', '0090015100_28022023004823']
Stack 3 with items: ['0090015100_28022023004823', '0090015100_28022023004823', '0090015100_28022023004823']
Stack 4 with items: ['0090015100_28022023004823', '0090015100_28022023004823', '0090015100_28022023004823']
Stack 5 with items: ['0090015100_28022023002339', '0090015100_28022023002339', '0090015100_28022023002339']
Stack 6 with items: ['0090015100_28022023002339', '0090015100_28022023002339', '0090015100_28022023002339']
Stack 7 with items: ['0090015100_28022023002339', '0090015100_28022023002227', '0090015100_28022023002339']
Stack 8 with items: ['0090015100_28022023002227', '0090015100_28022023002227', '0090015100_28022023002227']
Stack 9 with items: ['0090015100_28022023002227', '0090015100_28022023002227', '0090015100_28022023002227']
Stack 10 with items: ['0090015100_28022023003364', '0090015100_28022023003364', '0090015100_28022023006210']
Stack 11 with items: ['0090015100_28022023003364', '0090015100_28022023003364', '0090015100_28022023003364']
Stack 12 with items: ['0090015100_28022023006210', '0090015100_28022023006210', '0090015100_28022023006210']
Stack 13 with items: ['0090015100_28022023006210', '0090015100_28022023003364', '0090015100_28022023003364']
Stack 14 with items: ['0090015100_28022023006210', '0090015100_28022023006210', '0090015100_28022023006210']
Stack 15 with items: ['0090015100_28022023006210', '0090015100_28022023006210', '0090015100_28022023006210']
Stack 16 with items: ['0090015100_28022023006210', '0090015100_28022023003364', '0090015100_28022023003364']
Stack 17 with items: ['0090015100_28022023006210', '0090015100_28022023003364', '0090015100_28022023006210']
Stack 18 with items: ['0090015100_28022023006210', '0090015100_28022023003364', '0090015100_28022023003364']
Stack 19 with items: ['0090015100_28022023006210']
Heuristic packed all stacks
